method,scenario_family,challenge_type,target_status,tissue,anchor_recording_uid,anchor_recording_id,method_applicable,primary_metric_name,primary_metric_unit,primary_error,clean_primary_error,deterioration_primary_error,target_segment_shape_nrmse,clean_target_segment_shape_nrmse,deterioration_target_segment_shape_nrmse,envelope_log_rate_absolute_error_per_day,clean_envelope_log_rate_absolute_error_per_day,deterioration_envelope_log_rate_absolute_error_per_day,phase_equivalent_absolute_error_hours,clean_phase_equivalent_absolute_error_hours,deterioration_phase_equivalent_absolute_error_hours,ratio_log_error,clean_ratio_log_error,deterioration_ratio_log_error,trajectory_pearson,clean_trajectory_pearson,deterioration_trajectory_pearson,processing_success_fraction,valid_fraction,n_variants
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250625 to 250728::3A-L5m2_Raw.csv,3A-L5m2,True,circular_absolute_error_radians,radians,0.13582076219285355,0.13452087753982234,0.0029609806922685777,,,,,,,0.518797096260035,0.5138319026285338,0.011310113125780952,0.0019485477937290665,0.00139785182236525,0.0012782479791565093,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250625 to 250728::3B-T10m2_Raw.csv,3B-T10m2,True,circular_absolute_error_radians,radians,0.026390770905861727,0.028277514862056874,-0.0006345453821552383,,,,,,,0.1008053194001681,0.10801215044762127,-0.0024237848204674076,0.002650866361865777,0.0005838519845968999,0.0015297779466989432,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250625 to 250728::4C-T5m1_Raw.csv,4C-T5m1,True,circular_absolute_error_radians,radians,0.15967627014582875,0.16096995596809394,-0.0011479764962345484,,,,,,,0.6099184245164515,0.6148599403585653,-0.004384947214296983,0.0014548318373395794,0.0013785158467669498,-9.88822055450931e-05,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250625 to 250728::4D-T7m1_Raw.csv,4D-T7m1,True,circular_absolute_error_radians,radians,0.12212017786867957,0.12164090865825594,0.001996582720767748,,,,,,,0.466464719017484,0.4646340454836279,0.007626384223249294,0.006978029133572046,0.00733784216282885,0.0007686131755140738,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250625 to 250728::5B-T12m2_Raw.csv,5B-T12m2,True,circular_absolute_error_radians,radians,0.06759982975493184,0.06704819063885648,0.0008225250743691959,,,,,,,0.25821232938403177,0.25610522317300205,0.003141814353669281,0.0016315687498991687,0.00063131741043885,0.0008740707410268074,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250625 to 250728::5D-T10_Raw.csv,5D-T10,True,circular_absolute_error_radians,radians,0.1649819820907168,0.17036457359409085,-0.0018704918167351536,,,,,,,0.6301847513000671,0.6507447363658211,-0.007144752447512115,0.006243984544719504,0.00599499976712005,-0.00011370668446003627,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250625 to 250728::6A-T7_Raw.csv,6A-T7,True,circular_absolute_error_radians,radians,0.07060450577276134,0.07221066509732443,-0.003294247464605604,,,,,,,0.2696893463590854,0.275824423060622,-0.012583098426238233,0.00657521739679875,0.0077455852111044995,-0.0012812872611091,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250625 to 250728::6B-T5_Raw.csv,6B-T5,True,circular_absolute_error_radians,radians,0.1271421555602823,0.12877858263959197,-0.003294817673531014,,,,,,,0.4856472607866632,0.4918979517950208,-0.012585276463896011,0.0014956418862799815,0.0009050887608812,0.0007016463016431877,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250625 to 250728::7C-L1_Raw.csv,7C-L1,True,circular_absolute_error_radians,radians,0.1145349181406432,0.10689506541956484,0.0008983405384450638,,,,,,,0.4374911610890151,0.40830907328772653,0.0034314080945607728,0.0036292183539367298,0.00440533298208135,0.00013740443639570716,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250625 to 250728::7D-L2_Raw.csv,7D-L2,True,circular_absolute_error_radians,radians,0.09254702806348636,0.09259737360123599,0.003967712389297162,,,,,,,0.3535036076344371,0.35369591342312845,0.015155544948566357,0.009333216182439702,0.009774690121492301,0.0008331577234172022,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250625 to 250728::8B-L2m1_Raw.csv,8B-L2m1,True,circular_absolute_error_radians,radians,0.07167774021001838,0.07218363701488761,0.0007580999385830012,,,,,,,0.27378879993794725,0.27572118339049123,0.0028957284619955392,0.0019124313881845863,0.00050237324421465,0.0012075936269874364,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,True,circular_absolute_error_radians,radians,0.08299179119995381,0.08079786122494359,-0.0006941348763156441,,,,,,,0.3170052913325546,0.3086250961248661,-0.0026513999217147866,0.003397958682395931,0.0025266147960906,0.00012966742490870195,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250625 to 250728::8D-L4-1m1_Raw.csv,8D-L4-1m1,True,circular_absolute_error_radians,radians,0.11909790853570357,0.1220199402672244,-0.0006031851226211415,,,,,,,0.4549205005287278,0.4660818395833577,-0.002303997452751505,0.003271167595885624,0.0032083346964714,3.9571440740341756e-05,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250811::2D-1FL2_Raw.csv,2D-1FL2,True,circular_absolute_error_radians,radians,0.0784653310457164,0.07802342405155271,-0.0020688961938759576,,,,,,,0.2997154871344253,0.2980275267542326,-0.007902601343984822,0.04040522562327066,0.0404040895725532,-0.0012273456457374265,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250811::3A-1FL4_Raw.csv,3A-1FL4,True,circular_absolute_error_radians,radians,0.12388215268937541,0.1252469582296527,0.0019874564879140966,,,,,,,0.47319496707309683,0.4784081402273609,0.007591524581558068,0.030889505240682937,0.031701631648078155,0.0002510001001089293,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250811::3D-1FT10_Raw.csv,3D-1FT10,True,circular_absolute_error_radians,radians,0.025392577005026506,0.028188909640613158,-0.0014790249240377307,,,,,,,0.09699249955659753,0.10767370343218481,-0.005649459062801274,0.004351624692607075,0.005091678887776,-0.0006799986193262472,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250811::4A-2MT10_Raw.csv,4A-2MT10,True,circular_absolute_error_radians,radians,0.06582912714142508,0.06594355942679342,-0.00011663990960641968,,,,,,,0.25144874361558367,0.2518858427483598,-0.00044553163621569025,0.001692517232334058,0.0042094515942771495,-0.002380704024625266,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250811::4C-2MT5_Raw.csv,4C-2MT5,True,circular_absolute_error_radians,radians,0.09793058850958491,0.09760907019138543,0.0017325361759716884,,,,,,,0.37406729378877135,0.3728391842775064,0.006617800715794209,0.014740307398761348,0.014930544119567849,-0.00041779308124030145,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250811::4D-1FL4_Raw.csv,4D-1FL4,True,circular_absolute_error_radians,radians,0.1290776205872337,0.1245939577370685,-0.0029708908164174375,,,,,,,0.49304019261596255,0.4759138620776916,-0.01134796701165966,0.03186149505392563,0.02931702323527445,0.000844994849218763,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250811::5C-1FT7_Raw.csv,5C-1FT7,True,circular_absolute_error_radians,radians,0.22588250306303115,0.22885702018330667,-0.0016056917866971165,,,,,,,0.8628076060908383,0.8741694245629179,-0.006133290838437666,0.029400088679872073,0.0290943338724219,-0.0003792363535246295,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250811::6A-1FL1_Raw.csv,6A-1FL1,True,circular_absolute_error_radians,radians,0.10514783690487572,0.11259307828296183,-0.0045930903073987395,,,,,,,0.4016351519719533,0.43007387919998663,-0.01754431263575959,0.01131169496070436,0.010886951050039801,0.0002514541274654704,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250811::6B-2ML3_Raw.csv,6B-2ML3,True,circular_absolute_error_radians,radians,0.09846749540184052,0.0997020913206077,0.0019337472530300825,,,,,,,0.37611812704995345,0.3808339360865825,0.007386370416242627,0.0343022909363774,0.0350761972229968,0.00012089240242655133,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250811::7D-2MT12_Raw.csv,7D-2MT12,True,circular_absolute_error_radians,radians,0.1826280510321736,0.1793911965017827,0.004610927156473821,,,,,,,0.6975877696562244,0.6852238960902777,0.017612444380547154,0.03059555428580072,0.03047591678529535,-0.001002998538922488,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250811::8C-2ML4_Raw.csv,8C-2ML4,True,circular_absolute_error_radians,radians,0.10913820770336047,0.10719239896632105,-0.000765599140578388,,,,,,,0.41687724566831497,0.4094448037768456,-0.0029243733035989594,0.0033701030599416603,0.006141671429312301,-0.0044173264225428385,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,250811::8D-2MT7_Raw.csv,8D-2MT7,True,circular_absolute_error_radians,radians,0.06349797745427987,0.06317929234372288,0.003067052136096038,,,,,,,0.2425444077164728,0.24132712026123443,0.011715276196325786,0.025794560671460187,0.02653723973535515,-0.0015938470787759118,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,DRG,251003::2B- 1MT7_Raw.csv,2B- 1MT7,True,circular_absolute_error_radians,radians,0.1095119997254339,0.10087693685107268,0.0016654782347842456,,,,,,,0.4183050260203462,0.38532151545161264,0.006361658248269064,0.002713675439308499,0.0032408138645628496,-8.913441558417953e-05,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,SCN,250625 to 250728::1C-SCN_Raw.csv,1C-SCN,True,circular_absolute_error_radians,radians,0.0675105269821843,0.06651098658542809,0.0017039631241928532,,,,,,,0.25787121791888173,0.25405325483975094,0.00650865969747845,0.0029824406585778835,0.0004429068658443,0.0019980092816702833,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,SCN,250625 to 250728::6C-SCNmm1_Raw.csv,6C-SCNmm1,True,circular_absolute_error_radians,radians,0.11492476641775418,0.11156330334555342,0.00372251933846357,,,,,,,0.43898027181760874,0.4261404286825299,0.014218976483319573,0.00204240232405959,0.0022682496563618997,-0.0005984561652629999,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,SCN,250625 to 250728::7A-SCNmm2_Raw.csv,7A-SCNmm2,True,circular_absolute_error_radians,radians,0.0915876029403635,0.08844898631480702,0.000415949836398255,,,,,,,0.34983887361351984,0.3378502412032546,0.0015888113409851523,0.0017069974432069898,0.0024913236843187,0.0004968130322944987,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,SCN,250625 to 250728::7B-SCNcm2_Raw.csv,7B-SCNcm2,True,circular_absolute_error_radians,radians,0.16752182503467283,0.16208291045512868,0.0035750751797785085,,,,,,,0.6398862367210513,0.6191111133517146,0.013655781282885526,0.002955365509801814,0.0009531605388957501,0.0015055180880078367,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,SCN,250728::6B-SCNrM2_Raw.csv,6B-SCNrM2,True,circular_absolute_error_radians,radians,0.17699110859954348,0.18254063576226254,-0.0020995272797750264,,,,,,,0.6760562356063635,0.6972538679208309,-0.008019603473579384,0.002535442444726999,0.0037254189949070997,-0.00018234988679883993,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,SCN,250728::7A-SCNcM1_Raw.csv,7A-SCNcM1,True,circular_absolute_error_radians,radians,0.08054205260554159,0.07809921353485816,0.00091231715027007,,,,,,,0.3076479791745459,0.2983170212558912,0.0034847948191918526,0.0026688776466051865,0.0017893787141470999,0.0015923882463735849,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,SCN,250728::7B-SCNcM2_Raw.csv,7B-SCNcM2,True,circular_absolute_error_radians,radians,0.14341815569461813,0.14544802857065386,-0.004695768031247383,,,,,,,0.5478170017901168,0.5555705450397788,-0.01793651265086202,0.0021550515841677505,0.0016011918011669501,0.0004208519079441659,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,SCN,250811::1A-1FSCN_Raw.csv,1A-1FSCN,True,circular_absolute_error_radians,radians,0.040417461007106414,0.047681701158515555,-0.00034840092047971893,,,,,,,0.1543833289561181,0.18213068242579927,-0.001330793488130727,0.004646461043193131,0.00610306533758515,-0.0013629575800407968,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,SCN,250811::1B-2MSCN_Raw.csv,1B-2MSCN,True,circular_absolute_error_radians,radians,0.02538371719231569,0.026909756481721336,-0.0015260392894056451,,,,,,,0.09695865756489046,0.1027876982751629,-0.005829040710272453,0.00576857635070269,0.00638776103961145,-0.0005361119259414951,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,SCN,250811::1C-3FSCN_Raw.csv,1C-3FSCN,True,circular_absolute_error_radians,radians,0.12077343736831914,0.11785691492858996,-0.00019029700730044397,,,,,,,0.46132054923281807,0.450180254122706,-0.000726881024819076,0.008676273422145282,0.01005823786065965,-0.0014347291251328633,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,SCN,250811::1D-4FSCN_Raw.csv,1D-4FSCN,True,circular_absolute_error_radians,radians,0.11826448620889995,0.11414270768853108,0.0016211807073069906,,,,,,,0.4517370617368731,0.4359930275165522,0.006192454157114974,0.00866799836881646,0.00932757866281065,-0.0001412561239794996,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,SCN,251003::2A- M1SCn_Raw.csv,2A- M1SCn,True,circular_absolute_error_radians,radians,0.16274516170995823,0.16151607901707132,-0.0006139427289151289,,,,,,,0.621640726810313,0.6169459767453134,-0.002345088481972124,0.0018108043292740447,0.0009315071015747001,0.0008630390504695947,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,SCN,251003::4B-M3SCN_Raw.csv,4B-M3SCN,True,circular_absolute_error_radians,radians,0.00661491086554622,0.013031633481125349,-0.002225496603170285,,,,,,,0.02526709829673525,0.04977717324199063,-0.008500770845490547,0.0014241925451606743,0.0003592617445549,0.0011116725015164657,,,,1.0,1.0,10
CWT_pyBOAT,phase_shift_hours,gaussian_noise,ineligible,DRG,250625 to 250728::5A-T10m1_Raw.csv,5A-T10m1,True,circular_absolute_error_radians,radians,0.06675508053340096,0.060746659276013304,0.0017764059633051943,,,,,,,0.25498562504131966,0.2320351464023197,0.006785370959950604,0.012013417197403396,0.01006986547469,0.0005272333636203077,,,,1.0,1.0,10
