method,scenario_family,challenge_type,target_status,method_applicable,primary_metric_name,primary_metric_unit,metric,n_anchors_valid,bootstrap_replicates,bootstrap_seed,clean_point_estimate,clean_ci_lower_95,clean_ci_upper_95,challenge_point_estimate,challenge_ci_lower_95,challenge_ci_upper_95,deterioration_point_estimate,deterioration_ci_lower_95,deterioration_ci_upper_95
CWT_pyBOAT,phase_shift_hours,gaussian_noise,difficult,True,circular_absolute_error_radians,radians,primary_error,11,2000,1947017022,0.11819712569396401,0.07668662700706541,0.16643788817832794,0.12061978576276378,0.07882454820061291,0.1680879421884134,-0.0003167058092437003,-0.0015071027138375825,0.002249545990036239
CWT_pyBOAT,phase_shift_hours,gaussian_noise,difficult,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,11,2000,3200824921,0.45147976352276264,0.2929213381732536,0.6357459029125686,0.46073364333190264,0.30108759559470977,0.6420486449623375,-0.0012097270811292984,-0.005756708319707093,0.008592632736643652
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,True,circular_absolute_error_radians,radians,primary_error,41,2000,1697961228,0.10719239896632105,0.08844898631480702,0.1220199402672244,0.1095119997254339,0.0915876029403635,0.12212017786867957,-0.00011663990960641968,-0.0006941348763156441,0.00091231715027007
CWT_pyBOAT,phase_shift_hours,gaussian_noise,eligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,41,2000,1853499722,0.4094448037768456,0.3378502412032546,0.4660818395833577,0.4183050260203462,0.34983887361351984,0.466464719017484,-0.00044553163621569025,-0.0026513999217147866,0.0034847948191918526
CWT_pyBOAT,phase_shift_hours,gaussian_noise,ineligible,True,circular_absolute_error_radians,radians,primary_error,1,0,27835155,0.060746659276013304,,,0.06675508053340096,,,0.0017764059633051943,,
CWT_pyBOAT,phase_shift_hours,gaussian_noise,ineligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,1,0,220195061,0.2320351464023197,,,0.25498562504131966,,,0.006785370959950604,,
CWT_pyBOAT,phase_shift_hours,missing_block_6h,difficult,True,circular_absolute_error_radians,radians,primary_error,11,2000,1947017022,0.11819712569396401,0.07668662700706541,0.16643788817832794,0.11868555943858716,0.08291554246156796,0.1698090156662042,0.0013015180381010794,-0.0003675782630310209,0.0033549080788191077
CWT_pyBOAT,phase_shift_hours,missing_block_6h,difficult,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,11,2000,3200824921,0.45147976352276264,0.2929213381732536,0.6357459029125686,0.45334544299867446,0.31671404260570757,0.648622661396292,0.004971432702889245,-0.001404045540828458,0.012814804904711902
CWT_pyBOAT,phase_shift_hours,missing_block_6h,eligible,True,circular_absolute_error_radians,radians,primary_error,41,2000,1697961228,0.10719239896632105,0.08844898631480702,0.1220199402672244,0.10710339927798085,0.08851209464590237,0.12486083795486902,0.0014102437300744786,-0.0005645656518957765,0.002354815890349471
CWT_pyBOAT,phase_shift_hours,missing_block_6h,eligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,41,2000,1853499722,0.4094448037768456,0.3378502412032546,0.4660818395833577,0.4091048500088541,0.3380912972715131,0.47693326941872505,0.005386734254537007,-0.002156481940778665,0.008994734136491087
CWT_pyBOAT,phase_shift_hours,missing_block_6h,ineligible,True,circular_absolute_error_radians,radians,primary_error,1,0,27835155,0.060746659276013304,,,0.06583924105997596,,,-0.003375389280140695,,
CWT_pyBOAT,phase_shift_hours,missing_block_6h,ineligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,1,0,220195061,0.2320351464023197,,,0.25148737593873727,,,-0.012893037331050863,,
CWT_pyBOAT,phase_shift_hours,transient_artifact,difficult,True,circular_absolute_error_radians,radians,primary_error,11,2000,1947017022,0.11819712569396401,0.07668662700706541,0.16643788817832794,0.11479334629114035,0.09241375623340975,0.18527641247556437,0.014442148004661703,0.00040679508487784233,0.02472549270179414
CWT_pyBOAT,phase_shift_hours,transient_artifact,difficult,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,11,2000,3200824921,0.45147976352276264,0.2929213381732536,0.6357459029125686,0.43847828391107224,0.3529945467416788,0.7077037652116553,0.05516494185135995,0.0015538427660111154,0.09444442521295487
CWT_pyBOAT,phase_shift_hours,transient_artifact,eligible,True,circular_absolute_error_radians,radians,primary_error,41,2000,1697961228,0.10719239896632105,0.08844898631480702,0.1220199402672244,0.11632563739420698,0.10303968364832539,0.1354901968361486,0.012260487446841273,0.003967718003682563,0.018094947966058816
CWT_pyBOAT,phase_shift_hours,transient_artifact,eligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,41,2000,1853499722,0.4094448037768456,0.3378502412032546,0.4660818395833577,0.44433120479048316,0.393582599694147,0.5175344296072063,0.04683161236514211,0.015155566393938918,0.06911760993093355
CWT_pyBOAT,phase_shift_hours,transient_artifact,ineligible,True,circular_absolute_error_radians,radians,primary_error,1,0,27835155,0.060746659276013304,,,0.10638010684023946,,,0.013681487489648703,,
CWT_pyBOAT,phase_shift_hours,transient_artifact,ineligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,1,0,220195061,0.2320351464023197,,,0.4063420764064334,,,0.05225943270786041,,
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,primary_error,10,2000,1216128926,1.473991841687668,0.32916745369590034,2.2938323601159976,1.4740427738710697,0.3285365759818728,2.293717807850258,-5.1507479905676945e-05,-0.00015552078738460817,7.149188353317015e-05
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,target_segment_shape_nrmse,10,2000,412044319,0.10980322489260172,0.05505678964707668,0.17240485199316696,0.10980417982212433,0.054712975079030744,0.17246442063502962,-1.086969135206256e-05,-3.0407206025401257e-05,8.535896950853314e-05
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,trajectory_pearson,10,2000,4090550931,0.9972035446308043,0.9894815557959349,0.9986083518510087,0.9972014525411765,0.9894984429190345,0.9986079466047508,-1.356854346934444e-07,-1.373835824824976e-06,2.364818401240365e-06
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,envelope_log_rate_absolute_error_per_day,10,2000,3022090811,0.043782786118931605,0.02645966645504054,0.1284600682937405,0.04364560310898136,0.02619170930663771,0.1283330151645616,-0.00015259589812617602,-0.00046696277372332284,0.000275973003931021
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,ratio_log_error,10,2000,2592024630,0.9041449343008895,0.43620266949845504,1.0610010423603167,0.9041750766922061,0.43521804551604737,1.0611762497133514,3.1501683233708944e-05,-0.00012435047831260704,0.00022786399813421593
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,primary_error,42,2000,4170035510,0.08862162381292957,0.058469907272650404,0.11348606974597586,0.08856294900233147,0.05938835361128666,0.1143286822423098,2.9102694141247554e-06,-0.00013304447523015614,5.7271502137894864e-05
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,target_segment_shape_nrmse,42,2000,31411691,0.04072681420078963,0.0289660149639666,0.054117628597217374,0.040785655590101354,0.028705837576875816,0.05442199130600224,-2.9995623619994295e-05,-0.00011788493168066747,8.752543015078714e-05
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,trajectory_pearson,42,2000,2519608380,0.9965245418762281,0.9955511301134792,0.9979180149470983,0.9965959181184695,0.9955289456226124,0.9979197396235424,-4.0109615520589337e-07,-5.885666435473391e-06,7.1153985035377065e-06
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,envelope_log_rate_absolute_error_per_day,42,2000,1901117179,0.02306716917993519,0.011387045553820724,0.034518464044724584,0.022133593253533826,0.011815170780842682,0.03442287425528657,-7.31306713430413e-05,-0.00015627777478163796,8.110800413745067e-05
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,ratio_log_error,42,2000,346928805,0.0958903258733448,0.0626928267462444,0.12222019586677815,0.09535923048589229,0.062086995139194266,0.1226086264441392,-6.327331513797038e-05,-0.00017105952615863849,8.118203114606051e-05
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,primary_error,1,0,3266083555,1.532618559212259,,,1.5326768565020397,,,-1.8658352601841344e-06,,
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,target_segment_shape_nrmse,1,0,982559065,0.1543904773882215,,,0.15439511278780663,,,2.3903981372003225e-05,,
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,trajectory_pearson,1,0,3117953177,0.9947184424486062,,,0.9947222751824895,,,2.3252400141449137e-06,,
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,envelope_log_rate_absolute_error_per_day,1,0,447868020,0.08391151324280077,,,0.08331571911941849,,,-0.00033119912507606486,,
CWT_pyBOAT,post_amplitude_trajectory,gaussian_noise,ineligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,ratio_log_error,1,0,2952661255,0.9209040326583742,,,0.9213212381524349,,,0.00010269234030413354,,
CWT_pyBOAT,post_amplitude_trajectory,missing_block_6h,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,primary_error,10,2000,1216128926,1.473991841687668,0.32916745369590034,2.2938323601159976,1.4635664482112296,0.320574742038935,2.2671856994165758,-0.0006757368014792126,-0.002105575360678344,-0.00018357273070779279
CWT_pyBOAT,post_amplitude_trajectory,missing_block_6h,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,target_segment_shape_nrmse,10,2000,412044319,0.10980322489260172,0.05505678964707668,0.17240485199316696,0.1069094274536867,0.056197526572791985,0.17235901858997366,-0.00015933074566401584,-0.0005215843537446085,0.00032626655152541515
CWT_pyBOAT,post_amplitude_trajectory,missing_block_6h,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,trajectory_pearson,10,2000,4090550931,0.9972035446308043,0.9894815557959349,0.9986083518510087,0.9973087709365336,0.9897690026890211,0.9986329523552574,7.370820433449943e-07,-1.6817648345948662e-07,7.049941364523082e-06
CWT_pyBOAT,post_amplitude_trajectory,missing_block_6h,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,envelope_log_rate_absolute_error_per_day,10,2000,3022090811,0.043782786118931605,0.02645966645504054,0.1284600682937405,0.03950866352475274,0.024334061334622556,0.12459261214441125,-0.0012757801135869495,-0.0038098654559334255,0.00026402895528757075
CWT_pyBOAT,post_amplitude_trajectory,missing_block_6h,difficult,True,target_segment_calibrated_absolute_nrmse,NRMSE,ratio_log_error,10,2000,2592024630,0.9041449343008895,0.43620266949845504,1.0610010423603167,0.8899280404619193,0.4280250522253086,1.0399541616256673,-0.0021178375068494175,-0.003297649092486643,-0.0005103778236875689
CWT_pyBOAT,post_amplitude_trajectory,missing_block_6h,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,primary_error,42,2000,4170035510,0.08862162381292957,0.058469907272650404,0.11348606974597586,0.08021374687720417,0.05514607970223859,0.10089519982258277,-0.0038912765167695568,-0.004978401875579883,-0.0020015524254833935
CWT_pyBOAT,post_amplitude_trajectory,missing_block_6h,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,target_segment_shape_nrmse,42,2000,31411691,0.04072681420078963,0.0289660149639666,0.054117628597217374,0.04056120776761915,0.027535928015777585,0.05318171486257518,-0.0006641088462302769,-0.0012331979600630058,-0.000108243052469733
CWT_pyBOAT,post_amplitude_trajectory,missing_block_6h,eligible,True,target_segment_calibrated_absolute_nrmse,NRMSE,trajectory_pearson,42,2000,2519608380,0.9965245418762281,0.9955511301134792,0.9979180149470983,0.9967747290291433,0.9955617413906254,0.9979286368393918,-6.84125912030209e-05,-0.00012151900917251046,-9.033833809901637e-07
