method,metric,analysis_role,circular,animal_id,sex,level,spinal_position,spinal_region,value,n_recordings_collapsed,recording_ids
CWT_pyBOAT,baseline_period_hours,primary,False,20250626_M1,M,L1,13.0,lumbar,24.219981024001047,1,7C-L1
CWT_pyBOAT,baseline_period_hours,primary,False,20250626_M1,M,L2,14.0,lumbar,24.737533822960884,1,7D-L2
CWT_pyBOAT,baseline_period_hours,primary,False,20250626_M1,M,L3,15.0,lumbar,23.55237727097016,1,8A-L3
CWT_pyBOAT,baseline_period_hours,primary,False,20250703_m1,F,L2,14.0,lumbar,25.270829672839643,1,8B-L2m1
CWT_pyBOAT,baseline_period_hours,primary,False,20250703_m1,F,L3,15.0,lumbar,23.78606318304804,1,8C-L3m1
CWT_pyBOAT,baseline_period_hours,primary,False,20250703_m1,F,L4,16.0,lumbar,24.817724988579183,1,8D-L4-1m1
CWT_pyBOAT,baseline_period_hours,primary,False,20250811_2M,M,L1,13.0,lumbar,24.923252626770136,1,2C-2ML1
CWT_pyBOAT,baseline_period_hours,primary,False,20250811_1F,F,L2,14.0,lumbar,25.25410268123828,1,2D-1FL2
CWT_pyBOAT,baseline_period_hours,primary,False,20250811_1F,F,L4,16.0,lumbar,26.662121797800104,2,3A-1FL4 | 4D-1FL4
CWT_pyBOAT,baseline_period_hours,primary,False,20250811_1F,F,T10,10.0,thoracic,26.400885546614106,1,3D-1FT10
CWT_pyBOAT,baseline_period_hours,primary,False,20250811_2M,M,T10,10.0,thoracic,26.53568542010745,1,4A-2MT10
CWT_pyBOAT,baseline_period_hours,primary,False,20250811_2M,M,T5,5.0,thoracic,26.76494359911437,1,4C-2MT5
CWT_pyBOAT,baseline_period_hours,primary,False,20250811_2M,M,L2,14.0,lumbar,23.70538004708852,1,5A-2ML2
CWT_pyBOAT,baseline_period_hours,primary,False,20250811_1F,F,T7,7.0,thoracic,27.6982113364022,1,5C-1FT7
CWT_pyBOAT,baseline_period_hours,primary,False,20250811_1F,F,L1,13.0,lumbar,25.12815827388684,1,6A-1FL1
CWT_pyBOAT,baseline_period_hours,primary,False,20250811_2M,M,L3,15.0,lumbar,24.76287029553353,1,6B-2ML3
CWT_pyBOAT,baseline_period_hours,primary,False,20250811_1F,F,T12,12.0,thoracic,24.17275187124426,1,7C-1FT12
CWT_pyBOAT,baseline_period_hours,primary,False,20250811_2M,M,T12,12.0,thoracic,24.68341708542706,1,7D-2MT12
CWT_pyBOAT,baseline_period_hours,primary,False,20250811_1F,F,T5,5.0,thoracic,26.049126752644263,1,8A-1FT5
CWT_pyBOAT,baseline_period_hours,primary,False,20250811_2M,M,L4,16.0,lumbar,24.17914748568008,1,8C-2ML4
CWT_pyBOAT,baseline_period_hours,primary,False,20250811_2M,M,T7,7.0,thoracic,25.80904522613057,1,8D-2MT7
CWT_pyBOAT,baseline_period_hours,primary,False,20251003_M1,M,T7,7.0,thoracic,24.072881891977293,1,2B- 1MT7
CWT_pyBOAT,baseline_period_hours,primary,False,20251003_M1,M,L1,13.0,lumbar,24.718592964824047,1,2C- M1L1
CWT_pyBOAT,baseline_period_hours,primary,False,20251003_M1,M,L4,16.0,lumbar,23.40281828724032,1,2D- M1L4
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250703_m2,F,L1,13.0,lumbar,0.0282882946199549,1,1B-L1m2
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250703_m2,F,L2,14.0,lumbar,0.3758653406894545,1,1D-L2m2
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250703_m2,F,L3,15.0,lumbar,-1.588080261447093,1,2C-L3m2
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250703_m2,F,L4,16.0,lumbar,-0.7817408721931329,1,2D-L4m2
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250703_m2,F,L5,17.0,lumbar,-0.0312401166672522,1,3A-L5m2
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250703_m2,F,T10,10.0,thoracic,-1.378008925747615,1,3B-T10m2
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250703_m2,F,T12,12.0,thoracic,-0.11598200794180788,2,4B-T12m2 | 5B-T12m2
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250703_m1,F,T5,5.0,thoracic,-1.5723372105281612,1,4C-T5m1
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250703_m1,F,T7,7.0,thoracic,-0.9605720912253553,1,4D-T7m1
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250703_m1,F,T10,10.0,thoracic,1.2909301753522795,1,5A-T10m1
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250626_M1,M,T12,12.0,thoracic,-1.312822855536421,1,5C-T12
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250626_M1,M,T10,10.0,thoracic,0.3342938468566636,1,5D-T10
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250626_M1,M,T7,7.0,thoracic,1.2141828021224974,1,6A-T7
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250626_M1,M,T5,5.0,thoracic,0.9856625786274016,1,6B-T5
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250626_M1,M,L1,13.0,lumbar,0.2462311557788972,1,7C-L1
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250626_M1,M,L2,14.0,lumbar,0.5438732122149119,1,7D-L2
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250626_M1,M,L3,15.0,lumbar,0.1992479881927131,1,8A-L3
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250703_m1,F,L2,14.0,lumbar,0.2715676283515513,1,8B-L2m1
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250703_m1,F,L3,15.0,lumbar,-0.0049197034121633,1,8C-L3m1
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250703_m1,F,L4,16.0,lumbar,0.7168007871525433,1,8D-L4-1m1
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250811_2M,M,L1,13.0,lumbar,1.688688196225879,1,2C-2ML1
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250811_1F,F,L2,14.0,lumbar,-0.0078715254594641,1,2D-1FL2
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250811_1F,F,L4,16.0,lumbar,-0.8530765716695348,2,3A-1FL4 | 4D-1FL4
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250811_1F,F,T10,10.0,thoracic,0.1407035175879443,1,3D-1FT10
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250811_2M,M,T10,10.0,thoracic,-2.303405137575986,1,4A-2MT10
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250811_2M,M,T5,5.0,thoracic,-0.4806550233685875,1,4C-2MT5
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,20250811_2M,M,L2,14.0,lumbar,1.674667041501209,1,5A-2ML2
