method,metric,analysis_role,circular,level,spinal_position,n_animals,mean,standard_deviation,median,q25,q75,circular_mean_radians,resultant_length,formal_level
CWT_pyBOAT,baseline_period_hours,primary,False,T5,5.0,4,25.936773025968925,1.314949806509915,26.407035175879315,25.547870471237225,26.795937730611016,,,True
CWT_pyBOAT,baseline_period_hours,primary,False,T7,7.0,5,25.37384826229039,1.5081977134371933,25.25705450328558,24.072881891977293,25.80904522613057,,,True
CWT_pyBOAT,baseline_period_hours,primary,False,T10,10.0,5,25.25434866640889,1.326694787283692,25.21720490564704,24.841585550128183,26.400885546614106,,,True
CWT_pyBOAT,baseline_period_hours,primary,False,T12,12.0,4,24.915381101310672,1.1633063250172744,24.43275819657722,24.179762448606596,25.168376849281294,,,True
CWT_pyBOAT,baseline_period_hours,primary,False,L1,13.0,5,24.677267456161854,0.3720024146505986,24.718592964824047,24.39635239132719,24.923252626770136,,,True
CWT_pyBOAT,baseline_period_hours,primary,False,L2,14.0,5,24.717166250834516,0.6381236145535332,24.737533822960884,24.617985030045254,25.25410268123828,,,True
CWT_pyBOAT,baseline_period_hours,primary,False,L3,15.0,4,24.558026144709487,1.1722934483603686,24.274466739290787,23.72764170502857,25.1048511789717,,,True
CWT_pyBOAT,baseline_period_hours,primary,False,L4,16.0,5,24.89132375162518,1.2366770621485506,24.817724988579183,24.17914748568008,25.394806198826224,,,True
CWT_pyBOAT,baseline_period_hours,primary,False,L5,17.0,1,23.98432723055831,,23.98432723055831,23.98432723055831,23.98432723055831,,,False
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,T5,5.0,4,-0.3620286748427439,1.0481002620909352,-0.43072003373510803,-0.753575570158481,-0.03917313841937098,,,True
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,T7,7.0,5,-0.1644656850686971,1.2068939662947216,0.3222405734968596,-0.9605720912253553,0.4152229679867858,,,True
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,T10,10.0,5,-0.38309730470534265,1.4377775102942707,0.1407035175879443,-1.378008925747615,0.3342938468566636,,,True
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,T12,12.0,4,0.021000983940681284,1.0096427860064054,0.17077520469480145,-0.4151922198404612,0.6069684084759439,,,True
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,L1,13.0,5,0.6287380960747768,1.2579340588830201,0.2462311557788972,0.0282882946199549,1.688688196225879,,,True
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,L2,14.0,5,0.5716203394595325,0.6483911628888398,0.3758653406894545,0.2715676283515513,0.5438732122149119,,,True
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,L3,15.0,4,0.001045436975085856,1.2269117337996713,0.0971641423902749,-0.40070984292089573,0.49891942228625646,,,True
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,L4,16.0,5,0.032863618793266935,0.7989868254023271,0.2956741750711629,-0.7817408721931329,0.7168007871525433,,,True
CWT_pyBOAT,period_change_hours_post_minus_pre,primary,False,L5,17.0,1,-0.0312401166672522,,-0.0312401166672522,-0.0312401166672522,-0.0312401166672522,,,False
CWT_pyBOAT,phase_shift_angle_radians,secondary_circular,True,T5,5.0,4,,,,,,2.954484678071238,0.6134156920008563,True
CWT_pyBOAT,phase_shift_angle_radians,secondary_circular,True,T7,7.0,5,,,,,,2.2641559581911865,0.07193832139819392,True
CWT_pyBOAT,phase_shift_angle_radians,secondary_circular,True,T10,10.0,5,,,,,,-2.74407751420326,0.8469807753719995,True
CWT_pyBOAT,phase_shift_angle_radians,secondary_circular,True,T12,12.0,4,,,,,,2.3892298851512366,0.5279919713992246,True
CWT_pyBOAT,phase_shift_angle_radians,secondary_circular,True,L1,13.0,5,,,,,,2.4924936094203414,0.8860293646152793,True
CWT_pyBOAT,phase_shift_angle_radians,secondary_circular,True,L2,14.0,5,,,,,,-2.974613836284074,0.6760372552416436,True
CWT_pyBOAT,phase_shift_angle_radians,secondary_circular,True,L3,15.0,4,,,,,,1.8155260590748832,0.0797601770353503,True
CWT_pyBOAT,phase_shift_angle_radians,secondary_circular,True,L4,16.0,5,,,,,,1.4992153977321223,0.37411484573875586,True
CWT_pyBOAT,phase_shift_angle_radians,secondary_circular,True,L5,17.0,1,,,,,,0.9701514445976612,1.0,False
STFT,amplitude_log_ratio_post_over_pre,primary,False,T5,5.0,4,1.3883791835110624,0.21757601092259055,1.4520938888334798,1.3451154111585113,1.4953576611860309,,,True
STFT,amplitude_log_ratio_post_over_pre,primary,False,T7,7.0,5,0.7170306358557039,0.6012104519106358,0.7190306637029394,0.2299748268963624,0.9082192083699407,,,True
STFT,amplitude_log_ratio_post_over_pre,primary,False,T10,10.0,5,0.8595414967491584,0.8317604595806272,0.9741097767928864,0.7373142225107835,1.0683110479704525,,,True
STFT,amplitude_log_ratio_post_over_pre,primary,False,T12,12.0,4,1.3384409052560438,0.5811186688564798,1.171033953761072,0.9089557124325048,1.6005191465846114,,,True
STFT,amplitude_log_ratio_post_over_pre,primary,False,L1,13.0,5,1.2582492524990454,0.922675247028859,0.9676966436419292,0.9216090142082088,1.807059457565125,,,True
STFT,amplitude_log_ratio_post_over_pre,primary,False,L2,14.0,5,1.274942458630685,0.444649269223252,1.2881325116513132,1.266675936564409,1.3467285029141265,,,True
STFT,amplitude_log_ratio_post_over_pre,primary,False,L3,15.0,4,0.6499868622116853,1.0914971401472742,0.9054970331729568,0.10127749024491423,1.454206405139728,,,True
