plan_id,rescue_experiment,method,scenario_family,target_status,tissue,anchor_recording_uid,anchor_recording_id,primary_metric_name,primary_metric_unit,error_A,error_B,error_C,delta_add,delta_rescue,delta_remaining,processing_success_A,processing_success_B,processing_success_C,valid_primary_A,valid_primary_B,valid_primary_C,n_variants
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250625 to 250728::4C-T5m1_Raw.csv,4C-T5m1,circular_absolute_error_radians,radians,0.16096995596809394,0.1811504334152496,0.16895344082793295,0.02320654183304427,0.01823877147554498,0.002562119674372809,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250625 to 250728::4D-T7m1_Raw.csv,4D-T7m1,circular_absolute_error_radians,radians,0.12164090865825594,0.0941564749195547,0.11536121012600287,-0.022005739902785315,-0.01801374359665786,0.001054726213304491,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250625 to 250728::5B-T12m2_Raw.csv,5B-T12m2,circular_absolute_error_radians,radians,0.06704819063885648,0.05489640171331689,0.07095355977670348,-0.018466918624291395,-0.020491317576865953,0.0019520026762904763,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250625 to 250728::5D-T10_Raw.csv,5D-T10,circular_absolute_error_radians,radians,0.17036457359409085,0.16584553686990744,0.17227693496883334,0.013590527094446747,0.01271913594299412,-0.0012600265278095435,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250625 to 250728::6A-T7_Raw.csv,6A-T7,circular_absolute_error_radians,radians,0.07221066509732443,0.08190898407640046,0.07029573403073774,0.00026426583172756146,-0.000760781367756147,-0.002275060142981289,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250625 to 250728::6B-T5_Raw.csv,6B-T5,circular_absolute_error_radians,radians,0.12877858263959197,0.13129294457745533,0.13161599689904446,0.012290895923783074,0.012396842333497693,0.000620958430339158,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250625 to 250728::7C-L1_Raw.csv,7C-L1,circular_absolute_error_radians,radians,0.10689506541956484,0.101453784570541,0.12652673981417606,0.012260487446841273,0.0112551060631354,0.005048534911104241,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250625 to 250728::7D-L2_Raw.csv,7D-L2,circular_absolute_error_radians,radians,0.09259737360123599,0.13227729560112378,0.09195884615348793,0.03143642147287551,0.03217422252271973,0.0004246307361235324,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250625 to 250728::8B-L2m1_Raw.csv,8B-L2m1,circular_absolute_error_radians,radians,0.07218363701488761,0.11559800964094769,0.06987112021610975,0.04341437262606007,0.045726889424837935,-0.0037147820241614227,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,circular_absolute_error_radians,radians,0.08079786122494359,0.11632563739420698,0.07647323791486094,-0.00041306902671323087,-0.000681383909476807,-0.0001323235136965195,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250625 to 250728::8D-L4-1m1_Raw.csv,8D-L4-1m1,circular_absolute_error_radians,radians,0.1220199402672244,0.10592856796931494,0.11892671951963596,-0.006845562939123084,-0.011255664506262253,-0.0011178009469006156,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250811::2D-1FL2_Raw.csv,2D-1FL2,circular_absolute_error_radians,radians,0.07802342405155271,0.10303968364832539,0.08747413643316704,0.02265951694689683,0.010031877326058591,0.006209130035941257,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250811::3A-1FL4_Raw.csv,3A-1FL4,circular_absolute_error_radians,radians,0.1252469582296527,0.17090650982532507,0.12060000801678017,0.04605816531197626,0.047565118863893474,-0.003065831312426326,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250811::3D-1FT10_Raw.csv,3D-1FT10,circular_absolute_error_radians,radians,0.028188909640613158,0.08737413813609085,0.04485280252668877,0.03417942142684538,0.03423911477563024,0.002309539791678361,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250811::4A-2MT10_Raw.csv,4A-2MT10,circular_absolute_error_radians,radians,0.06594355942679342,0.1386311613055633,0.05947870723454041,0.0928262723318598,0.09870559725417483,-0.002063126271579563,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250811::4C-2MT5_Raw.csv,4C-2MT5,circular_absolute_error_radians,radians,0.09760907019138543,0.08707264499054324,0.10086590144775176,-0.005736644531744162,-0.009107330615936604,0.005130225025553159,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250811::4D-1FL4_Raw.csv,4D-1FL4,circular_absolute_error_radians,radians,0.1245939577370685,0.12430038059571347,0.12346845002157902,-0.027482678317294784,-0.038348938638705476,0.0007362677192475076,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250811::5C-1FT7_Raw.csv,5C-1FT7,circular_absolute_error_radians,radians,0.22885702018330667,0.2039791187326061,0.22036344981016853,0.003262885115745684,0.003888510292952896,-0.0006057955397764658,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250811::6A-1FL1_Raw.csv,6A-1FL1,circular_absolute_error_radians,radians,0.11259307828296183,0.1161163376167571,0.10029427012074521,-0.014710224324936405,-0.014692786005998215,0.0004108138462974864,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250811::6B-2ML3_Raw.csv,6B-2ML3,circular_absolute_error_radians,radians,0.0997020913206077,0.10239658660749651,0.10293189148678916,0.0026944952868888095,-0.0005353048792926529,0.0005736148180979228,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250811::7D-2MT12_Raw.csv,7D-2MT12,circular_absolute_error_radians,radians,0.1793911965017827,0.18683504695379582,0.17767711746206905,0.008312569883443421,0.007262065508026216,0.0016653247272664373,1.0,1.0,1.0,1.0,1.0,1.0,10
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,DRG,250811::8C-2ML4_Raw.csv,8C-2ML4,circular_absolute_error_radians,radians,0.10719239896632105,0.14714576361444043,0.1056721807666412,0.02925899311856739,0.027352227377875238,0.00014756882313804454,1.0,1.0,1.0,1.0,1.0,1.0,10
