recording_uid,recording_id,tissue,time_days_original,time_days_zero,forskolin_day_zero,drift_reference_day_zero,observed_normalised,fitted_signal,residual,baseline_component,rhythmic_component,amplitude_envelope,linear_drift_component,acute_transient_component,centering_component,transition_weight_post
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,0.94444,0.0,6.770835,3.256945,1.3951345904707073,0.03506931166793642,1.360065278802771,0.0,0.506057403693955,1.4084505459037677,-0.33768457596643603,0.0,-0.13330351605958257,0.0
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,0.95833,0.013890000000000069,6.770835,3.256945,1.489563840506693,0.14388362219073375,1.3456802183159593,0.0,0.613431579747127,1.4022820292588125,-0.3362444414968107,0.0,-0.13330351605958257,0.0
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,0.97222,0.027780000000000027,6.770835,3.256945,1.3677270764358722,0.24731227751568174,1.1204147989201905,0.0,0.7154201006024498,1.3961405285411896,-0.33480430702718544,0.0,-0.13330351605958257,0.0
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,0.98611,0.041670000000000096,6.770835,3.256945,1.6169281704332796,0.3446629630641046,1.2722652073691751,0.0,0.8113306516812473,1.3900259254306655,-0.3333641725575601,0.0,-0.13330351605958257,0.0
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,1.0,0.055560000000000054,6.770835,3.256945,1.5340146825968035,0.43529347860096745,1.098721203995836,0.0,0.9005210327484848,1.3839381021252075,-0.3319240380879348,0.0,-0.13330351605958257,0.0
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,1.01389,0.06945000000000001,6.770835,3.256945,1.5413847704044894,0.5186159559865877,1.0227688144179017,0.0,0.9824033756644798,1.3778769413387142,-0.33048390361830954,0.0,-0.13330351605958257,0.0
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,1.02778,0.08333999999999997,6.770835,3.256945,1.5611918813876473,0.5941006461735163,0.967091235214131,0.0,1.0564479313817832,1.3718423262987565,-0.3290437691486842,0.0,-0.13330351605958257,0.0
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,1.04167,0.09723000000000015,6.770835,3.256945,1.5142075716136456,0.6612792517588645,0.8529283198547811,0.0,1.122186402497506,1.3658341407443264,-0.32760363467905884,0.0,-0.13330351605958257,0.0
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,1.05556,0.11112000000000011,6.770835,3.256945,1.4755146106232886,0.719747784903972,0.7557668257193166,0.0,1.1792148011729882,1.3598522689235997,-0.3261635002094336,0.0,-0.13330351605958257,0.0
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,1.06944,0.125,6.770835,3.256945,1.2914927306751114,0.7691366767186667,0.5223560539564447,0.0,1.2271645953319306,1.353900873937106,-0.3247244025536813,0.0,-0.13330351605958257,0.0
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,1.08333,0.13888999999999996,6.770835,3.256945,1.3232762343457618,0.8092484563231539,0.5140277780226079,0.0,1.2658362404667924,1.3479712656162535,-0.32328426808405597,0.0,-0.13330351605958257,0.0
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,1.09722,0.15278000000000014,6.770835,3.256945,1.1351086800057573,0.8398453128961876,0.2952633671095697,0.0,1.2949929625702008,1.3420676268885339,-0.3218441336144307,0.0,-0.13330351605958257,0.0
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,1.11111,0.1666700000000001,6.770835,3.256945,0.925982438462645,0.8607990305591084,0.0651834079035366,0.0,1.3145065457634963,1.336189844016289,-0.3204039991448054,0.0,-0.13330351605958257,0.0
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,1.125,0.18056000000000005,6.770835,3.256945,0.8951201957679567,0.8720524238842775,0.023067771883679145,0.0,1.32431980461904,1.3303378037599904,-0.31896386467518006,0.0,-0.13330351605958257,0.0
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,1.13889,0.19445,6.770835,3.256945,0.6982006621563248,0.8736191316578765,-0.1754184695015517,0.0,1.3244463779230138,1.3245113933760597,-0.3175237302055548,0.0,-0.13330351605958257,0.0
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,1.15278,0.20833999999999997,6.770835,3.256945,0.8294803512307471,0.8655828989911941,-0.03610254776044697,0.0,1.3149700107867062,1.3187105006146955,-0.3160835957359295,0.0,-0.13330351605958257,0.0
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,1.16667,0.22223000000000015,6.770835,3.256945,0.6726356700734136,0.8480963574567653,-0.17546068738335163,0.0,1.2960433347826519,1.3129350137177103,-0.3146434612663041,0.0,-0.13330351605958257,0.0
