recording_uid,recording_id,tissue,model_spec_version,fit_procedure_version,raw_pre_baseline,raw_pre_amplitude_proxy,recording_start_day_original,fit_start_day_original,duration_days,forskolin_day_original,forskolin_day_zero,drift_reference_day_original,drift_reference_day_zero,reference_window_start_day_original,reference_window_end_day_original,reference_window_n_points,profiled_initial_phase_radians,n_parameter_starts,selected_parameter_start,n_profiled_starts,fit_pre_amplitude,fit_post_amplitude,fit_pre_period_hours,fit_post_period_hours,fit_pre_envelope_log_rate_per_day,fit_post_envelope_log_rate_per_day,fit_baseline_step,fit_phase_shift_angle_radians,fit_phase_shift_hours,fit_linear_drift_slope_per_day,fit_signed_acute_transient_amplitude,active_bound_count,boundary_hit_parameters,sse,rmse,mae,nrmse_q95_q05,r_squared
250811::1B-2MSCN_Raw.csv,1B-2MSCN,SCN,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,100.816,3.632949999999994,0.70833,0.95833,11.76389,7.6875,6.72917,4.19444,3.23611,0.95833,7.4375,467,0.3874653503895047,17,period_24_29,19,1.4554105347427875,2.0133892099728157,24.19690174219052,25.722327689162675,-0.3259499026215392,-0.40689278884840935,1.7055585707940355,0.014152822733391357,0.05793932954021634,0.12157205607153655,-2.8541341215197504,0,none,135.5832709833359,0.40032975619092614,0.23245781558598147,0.09389747483722792,0.9219051547764058
250811::1C-3FSCN_Raw.csv,1C-3FSCN,SCN,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,106.138,37.17939999999999,0.71319,0.96319,11.76389,7.692365,6.729175,4.19931,3.2361199999999997,0.96319,7.442365,467,0.7390525112513995,17,period_27_29,19,1.2400976628265792,1.03882920437417,24.108367009807424,25.19483127258797,-0.1706696624787509,-0.7199786092271278,-0.5609161943958207,-0.5373354366673366,-2.154651661816566,0.04477717829273215,0.8645381853206784,0,none,61.778841842150115,0.2702307083719805,0.20025410036006555,0.1460645797047341,0.7583857589593018
250811::1D-4FSCN_Raw.csv,1D-4FSCN,SCN,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,102.594,22.8258,0.70972,0.95972,11.76389,7.688885,6.729165,4.19583,3.23611,0.95972,7.438885,467,0.813666747342539,17,period_27_27,19,1.0833781198347512,2.110427964652458,24.274902375769415,26.43932615647337,-0.23944693659465083,-1.1985594669504112,-1.0526634936529107,-0.5357069723575822,-2.2542278595976724,0.10297917374208726,0.7076310390412524,0,none,79.08800810191399,0.3057525848565641,0.25772764241074725,0.16342842242925626,0.7053888711705572
250811::2C-2ML1_Raw.csv,2C-2ML1,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,45.442499999999995,12.200625,0.71528,0.96528,11.75,7.680555,6.715275,4.194445,3.229165,0.96528,7.430555,466,-0.13098316710168945,18,period_29_21,22,0.2243954098697139,7.583902801447001,29.782376137962515,25.652418492898697,-0.6006462994540249,-0.6001081695744038,8.383685914572377,1.5446471123197298,6.306344984572755,0.11410440892683404,5.99753967779281,1,fit_signed_acute_transient_amplitude,781.3515005785024,0.9616009214042824,0.6657923347025116,0.07388541618148026,0.9593249760147697
250811::2D-1FL2_Raw.csv,2D-1FL2,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,86.574,7.814699999999995,0.71181,0.96181,11.76388,7.690975,6.729165,4.19792,3.23611,0.96181,7.440975,467,-1.108878662388184,18,period_21_24,22,0.7359377760706903,4.726253350303153,25.14480457832212,25.25318091561951,-0.3405216049753402,-0.34958851896651433,3.2098933818158724,3.139293389020617,12.617349325915724,0.22129459333412949,2.7387403699163517,0,none,366.0924769059406,0.657824767121686,0.5100304706774986,0.09251068644923335,0.9367243742537704
250811::3A-1FL4_Raw.csv,3A-1FL4,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,68.748,2.429949999999998,0.70486,0.95486,11.76389,7.684025,6.729165,4.19097,3.23611,0.95486,7.434025,467,-1.9652018893910699,17,period_24_21,19,0.17121082720900702,1.028379807365561,23.99695746793537,20.906862965121032,0.1039968307333066,-1.398778737604923,-0.20711756653948138,2.279348138241618,7.584372710059752,0.20149147548083904,-5.170514677449578,1,fit_post_envelope_log_rate_per_day,136.4994321335073,0.4014428406995036,0.2536525927899768,0.1688597744045696,0.7844344786543628
250811::3D-1FT10_Raw.csv,3D-1FT10,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,82.366,6.855899999999984,0.71319,0.96319,11.76389,7.692365,6.729175,4.19931,3.2361199999999997,0.96319,7.442365,467,-1.4398959231676627,18,empirical,22,1.5872823762302153,4.806197601765147,26.826971519972265,26.68705819137984,-0.5883206115285674,-0.258743499796131,6.083782067771587,-0.06609263827869238,-0.2807203667461194,0.25266797010399045,0.41196010423434115,0,none,590.8038164371385,0.8356731806270395,0.6255466614129234,0.08073603955654379,0.9567582043747874
250811::4A-2MT10_Raw.csv,4A-2MT10,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,74.753,2.7974499999999978,0.70625,0.95625,11.76389,7.685415,6.729165,4.19236,3.23611,0.95625,7.435415,467,-1.1029068136456965,18,period_27_21,22,0.9020485804108533,2.831614378401828,27.352753058511688,24.626037421794862,-0.34531310315096947,-0.48978313972058557,2.092678126556698,-0.34386707011558393,-1.3477373215641326,0.08100827250729468,-2.2421322596945674,0,none,148.11791293828713,0.41817887200866066,0.29759102767255774,0.08938017049583427,0.9219182294108952
250811::4C-2MT5_Raw.csv,4C-2MT5,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,42.75,6.026900000000001,0.70486,0.95486,11.76389,7.684025,6.729165,4.19097,3.23611,0.95486,7.434025,467,-1.351644911119725,18,period_29_21,22,0.514637958404989,9.999985053811868,28.230748912755406,25.924501909103427,-0.7167359435054201,-1.0538611815504741,3.029185036932292,1.0674332797219455,4.404243189576386,0.12005243945373241,5.9999896727885735,2,fit_post_amplitude;fit_signed_acute_transient_amplitude,453.2695101349335,0.7315374230618316,0.48017227163536974,0.10314405382257506,0.9193811183443468
250811::4D-1FL4_Raw.csv,4D-1FL4,DRG,msc_x10_causal_angle_halfgaussian_v1,period_multistart_profile_joint_v4,87.09450000000001,5.499499999999998,0.71528,0.96528,11.75,7.680555,6.715275,4.194445,3.229165,0.96528,7.430555,466,-1.3148533583585522,18,period_24_21,22,0.9259252553070506,8.405815958191328,24.902073034244744,25.18288453180618,-0.3024595023166774,-0.39709529979879116,8.416172301456484,2.993249370473288,11.996885271774124,0.0748259963048626,4.250061260421032,0,none,326.0474223844506,0.621172228720085,0.4508389551507697,0.046659099961293436,0.9837720169860306
