recording_uid,recording_id,file,path,batch,position,sample_code,tissue,scn_region,spinal_region,level,recording_start_datetime,recording_end_datetime,min_time_days,max_time_days,recording_duration_days,n_raw_observations,n_analysis_observations,forskolin_status,experiment_start_date,scheduled_forskolin_date,reported_restart_datetime,forskolin_interval_start_datetime,forskolin_interval_end_datetime,forskolin_estimated_datetime,forskolin_time_days,forskolin_assignment_reason,median_sampling_interval_min,maximum_sampling_interval_min,n_sampling_gaps,n_excluded_observations
250811::4A-2MT10_Raw.csv,4A-2MT10,4A-2MT10_Raw.csv,data/raw/All/250811/4A-2MT10_Raw.csv,250811,4A,2MT10,DRG,,thoracic,T10,2025-08-11 16:57:00,2025-08-23 17:17:00,0.70625,12.72014,12.01389,865,865,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:17:00,2025-08-18 16:37:00,2025-08-18 16:27:00,7.685415,midpoint_of_actual_observations_bracketing_restart,20.0,40.0,1,0
250811::4C-2MT5_Raw.csv,4C-2MT5,4C-2MT5_Raw.csv,data/raw/All/250811/4C-2MT5_Raw.csv,250811,4C,2MT5,DRG,,thoracic,T5,2025-08-11 16:55:00,2025-08-23 17:15:00,0.70486,12.71875,12.01389,865,865,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:15:00,2025-08-18 16:35:00,2025-08-18 16:25:00,7.684025,midpoint_of_actual_observations_bracketing_restart,20.0,40.0,1,0
250811::4D-1FL4_Raw.csv,4D-1FL4,4D-1FL4_Raw.csv,data/raw/All/250811/4D-1FL4_Raw.csv,250811,4D,1FL4,DRG,,lumbar,L4,2025-08-11 17:10:00,2025-08-23 17:10:00,0.71528,12.71528,12.0,863,863,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:10:00,2025-08-18 16:30:00,2025-08-18 16:20:00,7.680555,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250811::5A-2ML2_Raw.csv,5A-2ML2,5A-2ML2_Raw.csv,data/raw/All/250811/5A-2ML2_Raw.csv,250811,5A,2ML2,DRG,,lumbar,L2,2025-08-11 17:00:00,2025-08-23 17:20:00,0.70833,12.72222,12.01389,864,864,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250811::5C-1FT7_Raw.csv,5C-1FT7,5C-1FT7_Raw.csv,data/raw/All/250811/5C-1FT7_Raw.csv,250811,5C,1FT7,DRG,,thoracic,T7,2025-08-11 16:57:00,2025-08-23 17:17:00,0.70625,12.72014,12.01389,865,865,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:17:00,2025-08-18 16:37:00,2025-08-18 16:27:00,7.685415,midpoint_of_actual_observations_bracketing_restart,20.0,40.0,1,0
250811::6A-1FL1_Raw.csv,6A-1FL1,6A-1FL1_Raw.csv,data/raw/All/250811/6A-1FL1_Raw.csv,250811,6A,1FL1,DRG,,lumbar,L1,2025-08-11 17:02:00,2025-08-23 17:22:00,0.70972,12.72361,12.01389,864,864,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:22:00,2025-08-18 16:42:00,2025-08-18 16:32:00,7.688885,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250811::6B-2ML3_Raw.csv,6B-2ML3,6B-2ML3_Raw.csv,data/raw/All/250811/6B-2ML3_Raw.csv,250811,6B,2ML3,DRG,,lumbar,L3,2025-08-11 17:12:00,2025-08-23 17:12:00,0.71667,12.71667,12.0,864,864,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:12:00,2025-08-18 16:32:00,2025-08-18 16:22:00,7.681945,midpoint_of_actual_observations_bracketing_restart,20.0,40.0,1,0
250811::7C-1FT12_Raw.csv,7C-1FT12,7C-1FT12_Raw.csv,data/raw/All/250811/7C-1FT12_Raw.csv,250811,7C,1FT12,DRG,,thoracic,T12,2025-08-11 17:02:00,2025-08-23 17:22:00,0.70972,12.72361,12.01389,864,864,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:22:00,2025-08-18 16:42:00,2025-08-18 16:32:00,7.688885,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250811::7D-2MT12_Raw.csv,7D-2MT12,7D-2MT12_Raw.csv,data/raw/All/250811/7D-2MT12_Raw.csv,250811,7D,2MT12,DRG,,thoracic,T12,2025-08-11 16:57:00,2025-08-23 17:17:00,0.70625,12.72014,12.01389,865,865,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:17:00,2025-08-18 16:37:00,2025-08-18 16:27:00,7.685415,midpoint_of_actual_observations_bracketing_restart,20.0,40.0,1,0
250811::8A-1FT5_Raw.csv,8A-1FT5,8A-1FT5_Raw.csv,data/raw/All/250811/8A-1FT5_Raw.csv,250811,8A,1FT5,DRG,,thoracic,T5,2025-08-11 17:07:00,2025-08-23 17:27:00,0.71319,12.72708,12.01389,864,864,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:27:00,2025-08-18 16:47:00,2025-08-18 16:37:00,7.692365,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250811::8C-2ML4_Raw.csv,8C-2ML4,8C-2ML4_Raw.csv,data/raw/All/250811/8C-2ML4_Raw.csv,250811,8C,2ML4,DRG,,lumbar,L4,2025-08-11 17:05:00,2025-08-23 17:25:00,0.71181,12.72569,12.01388,864,864,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:25:00,2025-08-18 16:45:00,2025-08-18 16:35:00,7.690975,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250811::8D-2MT7_Raw.csv,8D-2MT7,8D-2MT7_Raw.csv,data/raw/All/250811/8D-2MT7_Raw.csv,250811,8D,2MT7,DRG,,thoracic,T7,2025-08-11 17:00:00,2025-08-23 17:20:00,0.70833,12.72222,12.01389,864,864,administered_estimated,2025-08-11 00:00:00,2025-08-18 00:00:00,2025-08-18 16:30:00,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
251003::2A- M1SCn_Raw.csv,2A- M1SCn,2A- M1SCn_Raw.csv,data/raw/All/251003/2A- M1SCn_Raw.csv,251003,2A,M1SCn,SCN,whole_or_unspecified,,,2025-10-03 16:52:00,2025-10-16 23:52:00,0.70278,13.99444,13.29166,956,956,administered_estimated,2025-10-03 00:00:00,2025-10-10 00:00:00,2025-10-10 17:11:00,2025-10-10 16:52:00,2025-10-10 17:12:00,2025-10-10 17:02:00,7.709725,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
251003::2B- 1MT7_Raw.csv,2B- 1MT7,2B- 1MT7_Raw.csv,data/raw/All/251003/2B- 1MT7_Raw.csv,251003,2B,1MT7,DRG,,thoracic,T7,2025-10-03 17:02:00,2025-10-17 00:02:00,0.70972,14.00139,13.29167,956,956,administered_estimated,2025-10-03 00:00:00,2025-10-10 00:00:00,2025-10-10 17:11:00,2025-10-10 17:02:00,2025-10-10 17:22:00,2025-10-10 17:12:00,7.716665,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
251003::2C- M1L1_Raw.csv,2C- M1L1,2C- M1L1_Raw.csv,data/raw/All/251003/2C- M1L1_Raw.csv,251003,2C,M1L1,DRG,,lumbar,L1,2025-10-03 16:50:00,2025-10-16 23:50:00,0.70139,13.99306,13.29167,955,955,administered_estimated,2025-10-03 00:00:00,2025-10-10 00:00:00,2025-10-10 17:11:00,2025-10-10 17:10:00,2025-10-10 17:30:00,2025-10-10 17:20:00,7.722225,midpoint_of_actual_observations_bracketing_restart,20.0,80.0,1,0
251003::2D- M1L4_Raw.csv,2D- M1L4,2D- M1L4_Raw.csv,data/raw/All/251003/2D- M1L4_Raw.csv,251003,2D,M1L4,DRG,,lumbar,L4,2025-10-03 16:45:00,2025-10-17 00:05:00,0.69792,14.00347,13.30555,956,956,administered_estimated,2025-10-03 00:00:00,2025-10-10 00:00:00,2025-10-10 17:11:00,2025-10-10 17:05:00,2025-10-10 17:25:00,2025-10-10 17:15:00,7.71875,midpoint_of_actual_observations_bracketing_restart,20.0,80.0,1,0
251003::4A- M2SCN_Raw.csv,4A- M2SCN,4A- M2SCN_Raw.csv,data/raw/All/251003/4A- M2SCN_Raw.csv,251003,4A,M2SCN,SCN,whole_or_unspecified,,,2025-10-03 16:57:00,2025-10-16 23:57:00,0.70625,13.99792,13.29167,956,956,administered_estimated,2025-10-03 00:00:00,2025-10-10 00:00:00,2025-10-10 17:11:00,2025-10-10 16:57:00,2025-10-10 17:17:00,2025-10-10 17:07:00,7.713195,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
251003::4B-M3SCN_Raw.csv,4B-M3SCN,4B-M3SCN_Raw.csv,data/raw/All/251003/4B-M3SCN_Raw.csv,251003,4B,M3SCN,SCN,whole_or_unspecified,,,2025-10-03 16:47:00,2025-10-17 00:07:00,0.69931,14.00486,13.30555,956,956,administered_estimated,2025-10-03 00:00:00,2025-10-10 00:00:00,2025-10-10 17:11:00,2025-10-10 17:07:00,2025-10-10 17:27:00,2025-10-10 17:17:00,7.720135,midpoint_of_actual_observations_bracketing_restart,20.0,80.0,1,0
