recording_uid,recording_id,file,path,batch,position,sample_code,tissue,scn_region,spinal_region,level,recording_start_datetime,recording_end_datetime,min_time_days,max_time_days,recording_duration_days,n_raw_observations,n_analysis_observations,forskolin_status,experiment_start_date,scheduled_forskolin_date,reported_restart_datetime,forskolin_interval_start_datetime,forskolin_interval_end_datetime,forskolin_estimated_datetime,forskolin_time_days,forskolin_assignment_reason,median_sampling_interval_min,maximum_sampling_interval_min,n_sampling_gaps,n_excluded_observations
250625 to 250728::4C-T5m1_Raw.csv,4C-T5m1,4C-T5m1_Raw.csv,data/raw/All/250625 to 250728/4C-T5m1_Raw.csv,250625 to 250728,4C,T5m1,DRG,,thoracic,T5,2025-07-03 16:35:00,2025-07-16 23:55:00,0.69097,13.99653,13.30556,957,957,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:15:00,2025-07-10 17:35:00,2025-07-10 17:25:00,7.725695,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250625 to 250728::4D-T7m1_Raw.csv,4D-T7m1,4D-T7m1_Raw.csv,data/raw/All/250625 to 250728/4D-T7m1_Raw.csv,250625 to 250728,4D,T7m1,DRG,,thoracic,T7,2025-07-03 16:30:00,2025-07-16 23:50:00,0.6875,13.99306,13.30556,957,957,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,2025-07-10 17:30:00,2025-07-10 17:20:00,7.722225,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250625 to 250728::5A-T10m1_Raw.csv,5A-T10m1,5A-T10m1_Raw.csv,data/raw/All/250625 to 250728/5A-T10m1_Raw.csv,250625 to 250728,5A,T10m1,DRG,,thoracic,T10,2025-07-03 16:40:00,2025-07-17 00:00:00,0.69444,14.0,13.30556,956,956,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715275,midpoint_of_actual_observations_bracketing_restart,20.0,80.0,1,0
250625 to 250728::5B-T12m2_Raw.csv,5B-T12m2,5B-T12m2_Raw.csv,data/raw/All/250625 to 250728/5B-T12m2_Raw.csv,250625 to 250728,5B,T12m2,DRG,,thoracic,T12,2025-07-03 16:30:00,2025-07-16 23:50:00,0.6875,13.99306,13.30556,957,957,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,2025-07-10 17:30:00,2025-07-10 17:20:00,7.722225,midpoint_of_actual_observations_bracketing_restart,20.0,60.0,1,0
250625 to 250728::5C-SCNm5_Raw.csv,5C-SCNm5,5C-SCNm5_Raw.csv,data/raw/All/250625 to 250728/5C-SCNm5_Raw.csv,250625 to 250728,5C,SCNm5,SCN,medial,,,2025-07-10 17:57:00,2025-07-18 13:17:00,0.74792,8.55347,7.805550000000001,561,561,not_administered,,,,,,,,no_scheduled_treatment_for_recording_start_date,20.0,60.0,1,0
250625 to 250728::5C-T12_Raw.csv,5C-T12,5C-T12_Raw.csv,data/raw/All/250625 to 250728/5C-T12_Raw.csv,250625 to 250728,5C,T12,DRG,,thoracic,T12,2025-06-26 15:20:00,2025-07-09 23:57:00,0.63889,13.99792,13.35903,960,960,administered_estimated,2025-06-26 00:00:00,2025-07-03 00:00:00,2025-07-03 17:24:00,2025-07-03 17:17:00,2025-07-03 17:37:00,2025-07-03 17:27:00,7.727085,midpoint_of_actual_observations_bracketing_restart,20.0,77.0,1,0
250625 to 250728::5D-T10_Raw.csv,5D-T10,5D-T10_Raw.csv,data/raw/All/250625 to 250728/5D-T10_Raw.csv,250625 to 250728,5D,T10,DRG,,thoracic,T10,2025-06-26 15:35:00,2025-07-09 23:52:00,0.64931,13.99444,13.345130000000001,960,960,administered_estimated,2025-06-26 00:00:00,2025-07-03 00:00:00,2025-07-03 17:24:00,2025-07-03 17:12:00,2025-07-03 17:32:00,2025-07-03 17:22:00,7.723615,midpoint_of_actual_observations_bracketing_restart,20.0,57.0,1,0
250625 to 250728::6A-T7_Raw.csv,6A-T7,6A-T7_Raw.csv,data/raw/All/250625 to 250728/6A-T7_Raw.csv,250625 to 250728,6A,T7,DRG,,thoracic,T7,2025-06-26 15:25:00,2025-07-10 00:02:00,0.64236,14.00139,13.35903,961,961,administered_estimated,2025-06-26 00:00:00,2025-07-03 00:00:00,2025-07-03 17:24:00,2025-07-03 17:22:00,2025-07-03 17:42:00,2025-07-03 17:32:00,7.730555,midpoint_of_actual_observations_bracketing_restart,20.0,57.0,1,0
250625 to 250728::6B-T5_Raw.csv,6B-T5,6B-T5_Raw.csv,data/raw/All/250625 to 250728/6B-T5_Raw.csv,250625 to 250728,6B,T5,DRG,,thoracic,T5,2025-06-26 15:35:00,2025-07-09 23:52:00,0.64931,13.99444,13.345130000000001,960,960,administered_estimated,2025-06-26 00:00:00,2025-07-03 00:00:00,2025-07-03 17:24:00,2025-07-03 17:12:00,2025-07-03 17:32:00,2025-07-03 17:22:00,7.723615,midpoint_of_actual_observations_bracketing_restart,20.0,57.0,1,0
250625 to 250728::6C-SCNmm1_Raw.csv,6C-SCNmm1,6C-SCNmm1_Raw.csv,data/raw/All/250625 to 250728/6C-SCNmm1_Raw.csv,250625 to 250728,6C,SCNmm1,SCN,medial,,,2025-07-03 16:40:00,2025-07-17 00:00:00,0.69444,14.0,13.30556,956,956,administered_estimated,2025-07-03 00:00:00,2025-07-10 00:00:00,2025-07-10 17:20:00,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715275,midpoint_of_actual_observations_bracketing_restart,20.0,80.0,1,0
