recording_uid,path,batch,file,recording_id,position,sample_code,tissue,scn_region,spinal_region,level,min_time_days,max_time_days,n_points,median_sampling_interval_min,n_time_gaps,n_duplicate_times,n_missing_time,n_missing_counts,min_counts,max_counts,mean_counts,median_counts,recording_duration_days,forskolin_status,reported_restart_datetime,restart_on_file_20min_node,forskolin_window_start_datetime,forskolin_window_end_datetime,forskolin_estimated_datetime,forskolin_time_days,forskolin_window_start_days,forskolin_window_end_days
250625 to 250728::5A-T10m1_Raw.csv,data/raw/All/250625 to 250728/5A-T10m1_Raw.csv,250625 to 250728,5A-T10m1_Raw.csv,5A-T10m1,5A,T10m1,DRG,,thoracic,T10,0.69444,14.0,956,20.00159999999994,1,0,0,0,41.178,70.006,65.46123535564854,65.82900000000001,13.30556,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::5B-T12m2_Raw.csv,data/raw/All/250625 to 250728/5B-T12m2_Raw.csv,250625 to 250728,5B-T12m2_Raw.csv,5B-T12m2,5B,T12m2,DRG,,thoracic,T12,0.6875,13.99306,957,20.00159999999994,1,0,0,0,63.652,115.67,101.39729885057471,99.922,13.30556,administered_estimated,2025-07-10 17:20:00,False,2025-07-10 17:10:00,2025-07-10 17:30:00,2025-07-10 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
250625 to 250728::5C-SCNm5_Raw.csv,data/raw/All/250625 to 250728/5C-SCNm5_Raw.csv,250625 to 250728,5C-SCNm5_Raw.csv,5C-SCNm5,5C,SCNm5,SCN,medial,,,0.74792,8.55347,561,20.00159999999994,1,0,0,0,38.796,108.795,59.87178966131908,59.771,7.805550000000001,not_administered,,,,,,,,
250625 to 250728::5C-T12_Raw.csv,data/raw/All/250625 to 250728/5C-T12_Raw.csv,250625 to 250728,5C-T12_Raw.csv,5C-T12,5C,T12,DRG,,thoracic,T12,0.63889,13.99792,960,20.00159999999994,1,0,0,0,32.851,130.467,72.86934375000001,52.8455,13.35903,administered_estimated,2025-07-03 17:24:00,False,2025-07-03 17:20:00,2025-07-03 17:40:00,2025-07-03 17:30:00,7.729166666666667,7.722222222222222,7.736111111111111
250625 to 250728::5D-T10_Raw.csv,data/raw/All/250625 to 250728/5D-T10_Raw.csv,250625 to 250728,5D-T10_Raw.csv,5D-T10,5D,T10,DRG,,thoracic,T10,0.64931,13.99444,960,20.00159999999994,1,0,0,0,51.419,119.286,83.02607604166666,79.761,13.345130000000001,administered_estimated,2025-07-03 17:24:00,False,2025-07-03 17:10:00,2025-07-03 17:30:00,2025-07-03 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
250625 to 250728::6A-T7_Raw.csv,data/raw/All/250625 to 250728/6A-T7_Raw.csv,250625 to 250728,6A-T7_Raw.csv,6A-T7,6A,T7,DRG,,thoracic,T7,0.64236,14.00139,961,20.00159999999994,1,0,0,0,53.145,75.036,68.33943600416234,68.517,13.35903,administered_estimated,2025-07-03 17:24:00,False,2025-07-03 17:20:00,2025-07-03 17:40:00,2025-07-03 17:30:00,7.729166666666667,7.722222222222222,7.736111111111111
250625 to 250728::6B-T5_Raw.csv,data/raw/All/250625 to 250728/6B-T5_Raw.csv,250625 to 250728,6B-T5_Raw.csv,6B-T5,6B,T5,DRG,,thoracic,T5,0.64931,13.99444,960,20.00159999999994,1,0,0,0,69.287,113.01,98.99652916666668,94.8555,13.345130000000001,administered_estimated,2025-07-03 17:24:00,False,2025-07-03 17:10:00,2025-07-03 17:30:00,2025-07-03 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
250625 to 250728::6C-SCNmm1_Raw.csv,data/raw/All/250625 to 250728/6C-SCNmm1_Raw.csv,250625 to 250728,6C-SCNmm1_Raw.csv,6C-SCNmm1,6C,SCNmm1,SCN,medial,,,0.69444,14.0,956,20.00159999999994,1,0,0,0,43.718,200.195,92.92285878661087,91.553,13.30556,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::6D-SCNcm1_Raw.csv,data/raw/All/250625 to 250728/6D-SCNcm1_Raw.csv,250625 to 250728,6D-SCNcm1_Raw.csv,6D-SCNcm1,6D,SCNcm1,SCN,caudal,,,0.69097,7.60764,499,20.00159999999994,0,0,0,0,66.055,183.711,96.64214629258517,93.924,6.91667,not_administered,,,,,,,,
250625 to 250728::7A-SCNmm2_Raw.csv,data/raw/All/250625 to 250728/7A-SCNmm2_Raw.csv,250625 to 250728,7A-SCNmm2_Raw.csv,7A-SCNmm2,7A,SCNmm2,SCN,medial,,,0.68403,14.00347,958,20.00159999999994,1,0,0,0,70.515,116.981,88.96523277661795,89.47399999999999,13.31944,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::7B-SCNcm2_Raw.csv,data/raw/All/250625 to 250728/7B-SCNcm2_Raw.csv,250625 to 250728,7B-SCNcm2_Raw.csv,7B-SCNcm2,7B,SCNcm2,SCN,caudal,,,0.69097,13.99653,957,20.00159999999994,1,0,0,0,100.466,173.173,123.17217868338557,122.328,13.30556,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::7C-L1_Raw.csv,data/raw/All/250625 to 250728/7C-L1_Raw.csv,250625 to 250728,7C-L1_Raw.csv,7C-L1,7C,L1,DRG,,lumbar,L1,0.64236,14.00139,961,20.00159999999994,1,0,0,0,29.472,45.736,34.139117585848076,33.319,13.35903,administered_estimated,2025-07-03 17:24:00,False,2025-07-03 17:20:00,2025-07-03 17:40:00,2025-07-03 17:30:00,7.729166666666667,7.722222222222222,7.736111111111111
250625 to 250728::7C-SCNm6_Raw.csv,data/raw/All/250625 to 250728/7C-SCNm6_Raw.csv,250625 to 250728,7C-SCNm6_Raw.csv,7C-SCNm6,7C,SCNm6,SCN,medial,,,0.65417,8.55694,568,20.00159999999994,1,0,0,0,44.765,128.621,68.37241373239438,66.815,7.902770000000001,not_administered,,,,,,,,
250625 to 250728::7D-L2_Raw.csv,data/raw/All/250625 to 250728/7D-L2_Raw.csv,250625 to 250728,7D-L2_Raw.csv,7D-L2,7D,L2,DRG,,lumbar,L2,0.63889,13.99792,960,20.00159999999994,1,0,0,0,48.422,111.106,81.02677083333333,73.0565,13.35903,administered_estimated,2025-07-03 17:24:00,False,2025-07-03 17:20:00,2025-07-03 17:40:00,2025-07-03 17:30:00,7.729166666666667,7.722222222222222,7.736111111111111
250625 to 250728::8A-L3_Raw.csv,data/raw/All/250625 to 250728/8A-L3_Raw.csv,250625 to 250728,8A-L3_Raw.csv,8A-L3,8A,L3,DRG,,lumbar,L3,0.64583,14.00486,961,20.00159999999994,1,0,0,0,59.813,101.694,86.71952549427678,86.555,13.35903,administered_estimated,2025-07-03 17:24:00,False,2025-07-03 17:10:00,2025-07-03 17:30:00,2025-07-03 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
250625 to 250728::8B-L2m1_Raw.csv,data/raw/All/250625 to 250728/8B-L2m1_Raw.csv,250625 to 250728,8B-L2m1_Raw.csv,8B-L2m1,8B,L2m1,DRG,,lumbar,L2,0.69236,13.99792,957,20.00159999999994,1,0,0,0,66.668,156.869,119.24552142110764,104.533,13.30556,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::8B-L4_Raw.csv,data/raw/All/250625 to 250728/8B-L4_Raw.csv,250625 to 250728,8B-L4_Raw.csv,8B-L4,8B,L4,DRG,,lumbar,L4,0.63889,7.63889,505,20.00159999999994,0,0,0,0,66.407,89.043,85.90281782178218,86.357,7.0,not_administered,,,,,,,,
250625 to 250728::8C-L3m1_Raw.csv,data/raw/All/250625 to 250728/8C-L3m1_Raw.csv,250625 to 250728,8C-L3m1_Raw.csv,8C-L3m1,8C,L3m1,DRG,,lumbar,L3,0.68403,14.00347,958,20.00159999999994,1,0,0,0,79.224,301.25,157.31175365344467,152.13400000000001,13.31944,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250625 to 250728::8D-L4-1m1_Raw.csv,data/raw/All/250625 to 250728/8D-L4-1m1_Raw.csv,250625 to 250728,8D-L4-1m1_Raw.csv,8D-L4-1m1,8D,L4-1m1,DRG,,lumbar,L4,0.69444,14.0,956,20.00159999999994,1,0,0,0,67.627,185.705,131.34630334728035,109.10499999999999,13.30556,administered_estimated,2025-07-10 17:20:00,True,2025-07-10 17:00:00,2025-07-10 17:20:00,2025-07-10 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250728::6A-SCNrM1_Raw.csv,data/raw/All/250728/6A-SCNrM1_Raw.csv,250728,6A-SCNrM1_Raw.csv,6A-SCNrM1,6A,SCNrM1,SCN,rostral,,,0.65347,14.00139,963,20.00159999999994,0,0,0,0,54.378,228.683,124.00321599169263,122.999,13.34792,administered_estimated,2025-08-04 17:19:00,False,2025-08-04 17:00:00,2025-08-04 17:20:00,2025-08-04 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250728::6B-SCNrM2_Raw.csv,data/raw/All/250728/6B-SCNrM2_Raw.csv,250728,6B-SCNrM2_Raw.csv,6B-SCNrM2,6B,SCNrM2,SCN,rostral,,,0.66111,13.99444,960,20.00159999999994,1,0,0,0,78.075,305.574,181.61017395833332,181.038,13.33333,administered_estimated,2025-08-04 17:19:00,False,2025-08-04 17:10:00,2025-08-04 17:30:00,2025-08-04 17:20:00,7.722222222222222,7.715277777777778,7.729166666666667
250728::7A-SCNcM1_Raw.csv,data/raw/All/250728/7A-SCNcM1_Raw.csv,250728,7A-SCNcM1_Raw.csv,7A-SCNcM1,7A,SCNcM1,SCN,caudal,,,0.65417,14.00347,963,20.00159999999994,0,0,0,0,53.539,107.998,77.87673624091381,78.266,13.3493,administered_estimated,2025-08-04 17:19:00,False,2025-08-04 17:00:00,2025-08-04 17:20:00,2025-08-04 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250728::7B-SCNcM2_Raw.csv,data/raw/All/250728/7B-SCNcM2_Raw.csv,250728,7B-SCNcM2_Raw.csv,7B-SCNcM2,7B,SCNcM2,SCN,caudal,,,0.66319,13.99653,959,20.00159999999994,2,0,0,0,77.646,177.517,119.05521689259645,118.593,13.33334,administered_estimated,2025-08-04 17:19:00,False,2025-08-04 17:00:00,2025-08-04 17:20:00,2025-08-04 17:10:00,7.715277777777778,7.708333333333333,7.722222222222222
250811::1A-1FSCN_Raw.csv,data/raw/All/250811/1A-1FSCN_Raw.csv,250811,1A-1FSCN_Raw.csv,1A-1FSCN,1A,1FSCN,SCN,whole_or_unspecified,,,0.71528,12.71528,863,20.00159999999994,1,0,0,0,69.511,102.334,80.92951680185399,80.955,12.0,administered_estimated,2025-08-18 16:30:00,True,2025-08-18 16:10:00,2025-08-18 16:30:00,2025-08-18 16:20:00,7.680555555555555,7.673611111111111,7.6875
250811::1B-2MSCN_Raw.csv,data/raw/All/250811/1B-2MSCN_Raw.csv,250811,1B-2MSCN_Raw.csv,1B-2MSCN,1B,2MSCN,SCN,whole_or_unspecified,,,0.70833,12.72222,864,20.00159999999994,1,0,0,0,82.534,125.218,104.08071759259259,102.6265,12.01389,administered_estimated,2025-08-18 16:30:00,False,2025-08-18 16:20:00,2025-08-18 16:40:00,2025-08-18 16:30:00,7.6875,7.680555555555555,7.694444444444445
