recording_uid,recording_id,file,path,batch,source_row,Date,Time (hr:min),measurement_datetime,time_days,counts_sec,exclusion_reason,retained_conflicting_observation_datetime
250728::6A-SCNrM1_Raw.csv,6A-SCNrM1,6A-SCNrM1_Raw.csv,data/raw/All/250728/6A-SCNrM1_Raw.csv,250728,23,2025-07-28,23:20,2025-07-28 23:20:00,0.97222,176.774,competing_observation_in_20min_sequence,2025-07-28 23:22:00
250728::7A-SCNcM1_Raw.csv,7A-SCNcM1,7A-SCNcM1_Raw.csv,data/raw/All/250728/7A-SCNcM1_Raw.csv,250728,0,2025-07-28,15:42,2025-07-28 15:42:00,0.65417,107.998,competing_observation_in_20min_sequence,2025-07-28 15:45:00
