recording_uid,recording_id,file,path,batch,forskolin_status,previous_observation_datetime,next_observation_datetime,interval_minutes,previous_time_days,next_time_days,previous_hours_from_forskolin,next_hours_from_forskolin
250625 to 250728::7B-SCNcm2_Raw.csv,7B-SCNcm2,7B-SCNcm2_Raw.csv,data/raw/All/250625 to 250728/7B-SCNcm2_Raw.csv,250625 to 250728,administered_estimated,2025-07-10 14:35:00,2025-07-10 15:35:00,60.0,7.60764,7.64931,-2.8333200000000005,-1.8332400000000035
250625 to 250728::7C-L1_Raw.csv,7C-L1,7C-L1_Raw.csv,data/raw/All/250625 to 250728/7C-L1_Raw.csv,250625 to 250728,administered_estimated,2025-07-03 15:25:00,2025-07-03 16:22:00,57.0,7.64236,7.68194,-2.1166799999999952,-1.1667599999999965
250625 to 250728::7C-SCNm6_Raw.csv,7C-SCNm6,7C-SCNm6_Raw.csv,data/raw/All/250625 to 250728/7C-SCNm6_Raw.csv,250625 to 250728,not_administered,2025-07-17 14:42:00,2025-07-17 15:42:00,60.0,7.6125,7.65417,,
250625 to 250728::7D-L2_Raw.csv,7D-L2,7D-L2_Raw.csv,data/raw/All/250625 to 250728/7D-L2_Raw.csv,250625 to 250728,administered_estimated,2025-07-03 15:20:00,2025-07-03 16:37:00,77.0,7.63889,7.69236,-2.1166799999999952,-0.8333999999999975
250625 to 250728::8A-L3_Raw.csv,8A-L3,8A-L3_Raw.csv,data/raw/All/250625 to 250728/8A-L3_Raw.csv,250625 to 250728,administered_estimated,2025-07-03 15:30:00,2025-07-03 16:27:00,57.0,7.64583,7.68542,-1.7833199999999962,-0.8331600000000066
250625 to 250728::8B-L2m1_Raw.csv,8B-L2m1,8B-L2m1_Raw.csv,data/raw/All/250625 to 250728/8B-L2m1_Raw.csv,250625 to 250728,administered_estimated,2025-07-10 14:37:00,2025-07-10 15:37:00,60.0,7.60903,7.65069,-2.8333200000000005,-1.8334799999999944
250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,8C-L3m1_Raw.csv,data/raw/All/250625 to 250728/8C-L3m1_Raw.csv,250625 to 250728,administered_estimated,2025-07-10 14:25:00,2025-07-10 15:25:00,60.0,7.60069,7.64236,-2.833439999999996,-1.833359999999999
250625 to 250728::8D-L4-1m1_Raw.csv,8D-L4-1m1,8D-L4-1m1_Raw.csv,data/raw/All/250625 to 250728/8D-L4-1m1_Raw.csv,250625 to 250728,administered_estimated,2025-07-10 14:20:00,2025-07-10 15:40:00,80.0,7.59722,7.65278,-2.8333200000000005,-1.4998800000000045
250728::6B-SCNrM2_Raw.csv,6B-SCNrM2,6B-SCNrM2_Raw.csv,data/raw/All/250728/6B-SCNrM2_Raw.csv,250728,administered_estimated,2025-08-04 15:52:00,2025-08-04 16:32:00,40.0,7.66111,7.68889,-1.5001199999999955,-0.8333999999999975
250728::7B-SCNcM2_Raw.csv,7B-SCNcM2,7B-SCNcM2_Raw.csv,data/raw/All/250728/7B-SCNcM2_Raw.csv,250728,administered_estimated,2025-08-04 14:35:00,2025-08-04 15:15:00,40.0,7.60764,7.63542,-2.8333200000000005,-2.1666000000000025
250728::7B-SCNcM2_Raw.csv,7B-SCNcM2,7B-SCNcM2_Raw.csv,data/raw/All/250728/7B-SCNcM2_Raw.csv,250728,administered_estimated,2025-08-04 15:55:00,2025-08-04 16:35:00,40.0,7.66319,7.69097,-1.5001199999999955,-0.8333999999999975
250811::1A-1FSCN_Raw.csv,1A-1FSCN,1A-1FSCN_Raw.csv,data/raw/All/250811/1A-1FSCN_Raw.csv,250811,administered_estimated,2025-08-18 14:50:00,2025-08-18 15:50:00,60.0,7.61806,7.65972,-1.4998800000000045,-0.5000399999999985
250811::1B-2MSCN_Raw.csv,1B-2MSCN,1B-2MSCN_Raw.csv,data/raw/All/250811/1B-2MSCN_Raw.csv,250811,administered_estimated,2025-08-18 14:40:00,2025-08-18 15:40:00,60.0,7.61111,7.65278,-1.833359999999999,-0.833280000000002
250811::1C-3FSCN_Raw.csv,1C-3FSCN,1C-3FSCN_Raw.csv,data/raw/All/250811/1C-3FSCN_Raw.csv,250811,administered_estimated,2025-08-18 14:47:00,2025-08-18 15:47:00,60.0,7.61597,7.65764,-1.8334799999999944,-0.8333999999999975
250811::1D-4FSCN_Raw.csv,1D-4FSCN,1D-4FSCN_Raw.csv,data/raw/All/250811/1D-4FSCN_Raw.csv,250811,administered_estimated,2025-08-18 14:42:00,2025-08-18 15:42:00,60.0,7.6125,7.65417,-1.8332400000000035,-0.8331600000000066
250811::2C-2ML1_Raw.csv,2C-2ML1,2C-2ML1_Raw.csv,data/raw/All/250811/2C-2ML1_Raw.csv,250811,administered_estimated,2025-08-18 14:50:00,2025-08-18 15:50:00,60.0,7.61806,7.65972,-1.4998800000000045,-0.5000399999999985
250811::2D-1FL2_Raw.csv,2D-1FL2,2D-1FL2_Raw.csv,data/raw/All/250811/2D-1FL2_Raw.csv,250811,administered_estimated,2025-08-18 14:45:00,2025-08-18 15:45:00,60.0,7.61458,7.65625,-1.8334799999999944,-0.8333999999999975
250811::3A-1FL4_Raw.csv,3A-1FL4,3A-1FL4_Raw.csv,data/raw/All/250811/3A-1FL4_Raw.csv,250811,administered_estimated,2025-08-18 14:55:00,2025-08-18 15:35:00,40.0,7.62153,7.64931,-1.4998800000000045,-0.8331600000000066
250811::3D-1FT10_Raw.csv,3D-1FT10,3D-1FT10_Raw.csv,data/raw/All/250811/3D-1FT10_Raw.csv,250811,administered_estimated,2025-08-18 14:47:00,2025-08-18 15:47:00,60.0,7.61597,7.65764,-1.8334799999999944,-0.8333999999999975
250811::4A-2MT10_Raw.csv,4A-2MT10,4A-2MT10_Raw.csv,data/raw/All/250811/4A-2MT10_Raw.csv,250811,administered_estimated,2025-08-18 14:57:00,2025-08-18 15:37:00,40.0,7.62292,7.65069,-1.4998800000000045,-0.8333999999999975
250811::4C-2MT5_Raw.csv,4C-2MT5,4C-2MT5_Raw.csv,data/raw/All/250811/4C-2MT5_Raw.csv,250811,administered_estimated,2025-08-18 14:55:00,2025-08-18 15:35:00,40.0,7.62153,7.64931,-1.4998800000000045,-0.8331600000000066
250811::4D-1FL4_Raw.csv,4D-1FL4,4D-1FL4_Raw.csv,data/raw/All/250811/4D-1FL4_Raw.csv,250811,administered_estimated,2025-08-18 14:50:00,2025-08-18 15:50:00,60.0,7.61806,7.65972,-1.4998800000000045,-0.5000399999999985
250811::5A-2ML2_Raw.csv,5A-2ML2,5A-2ML2_Raw.csv,data/raw/All/250811/5A-2ML2_Raw.csv,250811,administered_estimated,2025-08-18 14:40:00,2025-08-18 15:40:00,60.0,7.61111,7.65278,-1.833359999999999,-0.833280000000002
250811::5C-1FT7_Raw.csv,5C-1FT7,5C-1FT7_Raw.csv,data/raw/All/250811/5C-1FT7_Raw.csv,250811,administered_estimated,2025-08-18 14:57:00,2025-08-18 15:37:00,40.0,7.62292,7.65069,-1.4998800000000045,-0.8333999999999975
250811::6A-1FL1_Raw.csv,6A-1FL1,6A-1FL1_Raw.csv,data/raw/All/250811/6A-1FL1_Raw.csv,250811,administered_estimated,2025-08-18 14:42:00,2025-08-18 15:42:00,60.0,7.6125,7.65417,-1.8332400000000035,-0.8331600000000066
250811::6B-2ML3_Raw.csv,6B-2ML3,6B-2ML3_Raw.csv,data/raw/All/250811/6B-2ML3_Raw.csv,250811,administered_estimated,2025-08-18 14:52:00,2025-08-18 15:32:00,40.0,7.61944,7.64722,-1.5001199999999955,-0.8333999999999975
250811::7C-1FT12_Raw.csv,7C-1FT12,7C-1FT12_Raw.csv,data/raw/All/250811/7C-1FT12_Raw.csv,250811,administered_estimated,2025-08-18 14:42:00,2025-08-18 15:42:00,60.0,7.6125,7.65417,-1.8332400000000035,-0.8331600000000066
250811::7D-2MT12_Raw.csv,7D-2MT12,7D-2MT12_Raw.csv,data/raw/All/250811/7D-2MT12_Raw.csv,250811,administered_estimated,2025-08-18 14:57:00,2025-08-18 15:37:00,40.0,7.62292,7.65069,-1.4998800000000045,-0.8333999999999975
250811::8A-1FT5_Raw.csv,8A-1FT5,8A-1FT5_Raw.csv,data/raw/All/250811/8A-1FT5_Raw.csv,250811,administered_estimated,2025-08-18 14:47:00,2025-08-18 15:47:00,60.0,7.61597,7.65764,-1.8334799999999944,-0.8333999999999975
250811::8C-2ML4_Raw.csv,8C-2ML4,8C-2ML4_Raw.csv,data/raw/All/250811/8C-2ML4_Raw.csv,250811,administered_estimated,2025-08-18 14:45:00,2025-08-18 15:45:00,60.0,7.61458,7.65625,-1.8334799999999944,-0.8333999999999975
250811::8D-2MT7_Raw.csv,8D-2MT7,8D-2MT7_Raw.csv,data/raw/All/250811/8D-2MT7_Raw.csv,250811,administered_estimated,2025-08-18 14:40:00,2025-08-18 15:40:00,60.0,7.61111,7.65278,-1.833359999999999,-0.833280000000002
251003::2A- M1SCn_Raw.csv,2A- M1SCn,2A- M1SCn_Raw.csv,data/raw/All/251003/2A- M1SCn_Raw.csv,251003,administered_estimated,2025-10-10 15:12:00,2025-10-10 16:12:00,60.0,7.63333,7.675,-1.8334799999999944,-0.8333999999999975
251003::2B- 1MT7_Raw.csv,2B- 1MT7,2B- 1MT7_Raw.csv,data/raw/All/251003/2B- 1MT7_Raw.csv,251003,administered_estimated,2025-10-10 15:22:00,2025-10-10 16:22:00,60.0,7.64028,7.68194,-1.8332400000000035,-0.8333999999999975
251003::2C- M1L1_Raw.csv,2C- M1L1,2C- M1L1_Raw.csv,data/raw/All/251003/2C- M1L1_Raw.csv,251003,administered_estimated,2025-10-10 15:10:00,2025-10-10 16:30:00,80.0,7.63194,7.6875,-2.1668399999999934,-0.8333999999999975
251003::2D- M1L4_Raw.csv,2D- M1L4,2D- M1L4_Raw.csv,data/raw/All/251003/2D- M1L4_Raw.csv,251003,administered_estimated,2025-10-10 15:05:00,2025-10-10 16:25:00,80.0,7.62847,7.68403,-2.166719999999998,-0.833280000000002
251003::4A- M2SCN_Raw.csv,4A- M2SCN,4A- M2SCN_Raw.csv,data/raw/All/251003/4A- M2SCN_Raw.csv,251003,administered_estimated,2025-10-10 15:17:00,2025-10-10 16:17:00,60.0,7.63681,7.67847,-1.8332400000000035,-0.8333999999999975
251003::4B-M3SCN_Raw.csv,4B-M3SCN,4B-M3SCN_Raw.csv,data/raw/All/251003/4B-M3SCN_Raw.csv,251003,administered_estimated,2025-10-10 15:07:00,2025-10-10 16:27:00,80.0,7.62986,7.68542,-2.1666000000000025,-0.8331600000000066
