method,scenario_family,scenario_level_number,scenario_level,added_component,target_status,method_applicable,primary_metric_name,primary_metric_unit,metric,point_estimate,ci_lower_95,ci_upper_95,n_anchors_valid,bootstrap_replicates,bootstrap_seed
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,True,circular_absolute_error_radians,radians,primary_error,0.10401159757717893,0.09133700031798142,0.14517036452560683,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,True,circular_absolute_error_radians,radians,primary_error_deterioration_from_target_only,0.00018600491624098936,-0.00041298775107279084,0.0016849257587170374,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,0.3972950374390327,0.3488816421070262,0.5545099465128638,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours_deterioration_from_target_only,0.0007104864446195319,-0.0015774970084713597,0.006435942317824267,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,True,circular_absolute_error_radians,radians,ratio_log_error,0.009715275373811949,0.00562883698561705,0.015891541453286,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,True,circular_absolute_error_radians,radians,ratio_log_error_deterioration_from_target_only,0.0012816142935683002,0.00022822890815869996,0.00510218132044115,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,True,circular_absolute_error_radians,radians,processing_success_fraction,1.0,1.0,1.0,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,eligible,True,circular_absolute_error_radians,radians,valid_fraction,1.0,1.0,1.0,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,ineligible,True,circular_absolute_error_radians,radians,primary_error,0.11112121577225587,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,ineligible,True,circular_absolute_error_radians,radians,primary_error_deterioration_from_target_only,0.02860611251537981,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,ineligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,0.4244517785408545,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,ineligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours_deterioration_from_target_only,0.10926730102717509,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,ineligible,True,circular_absolute_error_radians,radians,ratio_log_error,0.007435412039604,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,ineligible,True,circular_absolute_error_radians,radians,ratio_log_error_deterioration_from_target_only,-0.0030386425002617494,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,ineligible,True,circular_absolute_error_radians,radians,processing_success_fraction,1.0,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,1,S1_pre_amplitude,pre_amplitude,ineligible,True,circular_absolute_error_radians,radians,valid_fraction,1.0,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,difficult,True,circular_absolute_error_radians,radians,primary_error,0.12455809601634704,0.07655593462992805,0.15783741743671698,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,difficult,True,circular_absolute_error_radians,radians,primary_error_deterioration_from_target_only,-0.0004919898634909714,-0.01806090912224434,0.0007358077007779684,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,difficult,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,0.47577688039479715,0.2924221300649534,0.602894524557898,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,difficult,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours_deterioration_from_target_only,-0.0018792628494166685,-0.06898759112492864,0.002810578385853524,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,difficult,True,circular_absolute_error_radians,radians,ratio_log_error,0.0115749033228878,0.00402199728840855,0.02569041220644035,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,difficult,True,circular_absolute_error_radians,radians,ratio_log_error_deterioration_from_target_only,0.0011343614944605,-1.5641259692850823e-05,0.0104250166897219,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,difficult,True,circular_absolute_error_radians,radians,processing_success_fraction,1.0,1.0,1.0,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,difficult,True,circular_absolute_error_radians,radians,valid_fraction,1.0,1.0,1.0,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,eligible,True,circular_absolute_error_radians,radians,primary_error,0.10596744341425435,0.0885577052412565,0.1285119834736741,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,eligible,True,circular_absolute_error_radians,radians,primary_error_deterioration_from_target_only,0.00021213690054366907,-0.00021873091164792413,0.0037224907017368025,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,eligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,0.40476581822854296,0.3382655169125045,0.49087961799310065,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,eligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours_deterioration_from_target_only,0.0008103032720092329,-0.0008354905390983366,0.01421886709908074,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,eligible,True,circular_absolute_error_radians,radians,ratio_log_error,0.00920778513668465,0.0055589637700108,0.01187718651202785,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,eligible,True,circular_absolute_error_radians,radians,ratio_log_error_deterioration_from_target_only,5.361055124940284e-05,-0.00013599182697140002,0.0042678997630484,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,eligible,True,circular_absolute_error_radians,radians,processing_success_fraction,1.0,1.0,1.0,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,eligible,True,circular_absolute_error_radians,radians,valid_fraction,1.0,1.0,1.0,41,2000,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,ineligible,True,circular_absolute_error_radians,radians,primary_error,0.05999216919436279,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,ineligible,True,circular_absolute_error_radians,radians,primary_error_deterioration_from_target_only,3.4848469905313095e-05,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,ineligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,0.229153206578116,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,ineligible,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours_deterioration_from_target_only,0.00013311134987087359,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,ineligible,True,circular_absolute_error_radians,radians,ratio_log_error,0.00939560584629245,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,ineligible,True,circular_absolute_error_radians,radians,ratio_log_error_deterioration_from_target_only,-0.0003290132486479516,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,ineligible,True,circular_absolute_error_radians,radians,processing_success_fraction,1.0,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,2,S2_post_amplitude,post_amplitude,ineligible,True,circular_absolute_error_radians,radians,valid_fraction,1.0,,,1,0,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,difficult,True,circular_absolute_error_radians,radians,primary_error,0.15734895981054065,0.11201982330881455,0.25509021669464893,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,difficult,True,circular_absolute_error_radians,radians,primary_error_deterioration_from_target_only,0.0259641669523063,-0.009019548359230356,0.12080619020170502,11,2000,20260902
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,difficult,True,circular_absolute_error_radians,radians,phase_equivalent_absolute_error_hours,0.6010287538611726,0.42788420649308523,0.9743728541120664,11,2000,20260902
