method,scenario_family,scenario_level_number,scenario_level,added_component,target_status,method_applicable,primary_metric_name,primary_metric_unit,n_anchors_total,n_anchors_valid,median_processing_success_fraction,median_valid_fraction,median_primary_error,q25_primary_error,q75_primary_error,median_primary_error_deterioration,median_trajectory_pearson,median_trajectory_pearson_deterioration,median_target_segment_shape_nrmse,median_target_segment_shape_nrmse_deterioration,median_envelope_log_rate_error_per_day,median_envelope_log_rate_absolute_error_per_day,q25_envelope_log_rate_absolute_error_per_day,q75_envelope_log_rate_absolute_error_per_day,median_envelope_log_rate_absolute_error_deterioration,median_phase_equivalent_absolute_error_hours,median_phase_equivalent_absolute_error_hours_deterioration,median_ratio_log_error,median_ratio_log_error_deterioration
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,eligible,True,circular_absolute_error_radians,radians,41,41,1.0,1.0,0.1142541544763569,0.08699293841700295,0.15582178727506468,0.0003349130256076194,,,,,,,,,,0.43641872288873285,0.0012792735247515452,0.0051811037100739,0.00024615058991
CWT_pyBOAT,phase_shift_hours,3,S3_pre_period,pre_period,ineligible,True,circular_absolute_error_radians,radians,1,1,1.0,1.0,0.14522980765615268,0.14522980765615268,0.14522980765615268,0.08533029230375933,,,,,,,,,,0.5547370025462852,0.32593770757487067,0.03089919884947095,0.020263003012834648
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,difficult,True,circular_absolute_error_radians,radians,11,11,1.0,1.0,0.13366671300572452,0.08360994254259158,0.2252585987753688,0.0022120324624523846,,,,,,,,,,0.6171052881916586,0.050958950789299795,0.01475851565104305,0.0084072292700737
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,eligible,True,circular_absolute_error_radians,radians,41,41,1.0,1.0,0.12688580592590726,0.08942969615892538,0.1656010666850578,0.005589593758461353,,,,,,,,,,0.5032880595438245,0.054925382477355844,0.008340630688446201,0.0021051364170679
CWT_pyBOAT,phase_shift_hours,4,S4_post_period,post_period,ineligible,True,circular_absolute_error_radians,radians,1,1,1.0,1.0,0.10350021377633278,0.10350021377633278,0.10350021377633278,0.010518172506938539,,,,,,,,,,0.4562550438455172,0.08241910364556666,0.02521690932623805,0.015752145631686598
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,difficult,True,circular_absolute_error_radians,radians,11,11,1.0,1.0,0.36981152873293666,0.11094035938695923,0.9981076738576566,0.2259046813404415,,,,,,,,,,1.4125759874452166,0.8628923208703372,0.20930975520121095,0.19359145767031805
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,eligible,True,circular_absolute_error_radians,radians,41,41,1.0,1.0,0.2164458247842067,0.12431735046119652,0.39010724145883624,0.06562331466756177,,,,,,,,,,0.8267621502242104,0.25066259787401607,0.09165119627724665,0.0814874476722757
CWT_pyBOAT,phase_shift_hours,5,S5_pre_envelope,pre_envelope,ineligible,True,circular_absolute_error_radians,radians,1,1,1.0,1.0,0.9561609217006262,0.9561609217006262,0.9561609217006262,0.8762934257900412,,,,,,,,,,3.652265689918977,3.3471943275219846,0.14203686236340102,0.13200216788206515
CWT_pyBOAT,phase_shift_hours,6,S6_post_envelope,post_envelope,difficult,True,circular_absolute_error_radians,radians,11,11,1.0,1.0,0.13980714346262735,0.08304059400624908,0.17614562863084016,-0.013530386613201273,,,,,,,,,,0.5340239510792377,-0.05168226987444938,0.09442669866066315,0.09413408666857687
CWT_pyBOAT,phase_shift_hours,6,S6_post_envelope,post_envelope,eligible,True,circular_absolute_error_radians,radians,41,41,1.0,1.0,0.10506297451762592,0.0645761447507438,0.1544211801124371,-0.003386195321798624,,,,,,,,,,0.4013110015300321,-0.012934313369733608,0.12397968976348955,0.11292826895152455
CWT_pyBOAT,phase_shift_hours,6,S6_post_envelope,post_envelope,ineligible,True,circular_absolute_error_radians,radians,1,1,1.0,1.0,0.9940892002431843,0.9940892002431843,0.9940892002431843,0.9606942801679952,,,,,,,,,,3.797141042231322,3.669581843732319,0.8719449830633641,0.8606780372504244
