method,scenario_family,scenario_level_number,scenario_level,added_component,target_status,tissue,anchor_recording_uid,anchor_recording_id,method_applicable,primary_metric_name,primary_metric_unit,n_variants,processing_success_fraction,valid_fraction,median_primary_error,median_primary_error_deterioration,median_trajectory_pearson,median_trajectory_pearson_deterioration,median_target_segment_shape_nrmse,median_target_segment_shape_nrmse_deterioration,median_envelope_log_rate_error_per_day,median_envelope_log_rate_absolute_error_per_day,median_envelope_log_rate_absolute_error_deterioration,median_phase_equivalent_absolute_error_hours,median_phase_equivalent_absolute_error_hours_deterioration,median_ratio_log_error,median_ratio_log_error_deterioration
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250625 to 250728::6B-T5_Raw.csv,6B-T5,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.12877858263959197,0.0,,,,,,,,0.4918979517950208,0.0,0.0009050887608812,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250625 to 250728::7C-L1_Raw.csv,7C-L1,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.10689506541956484,0.0,,,,,,,,0.40830907328772653,0.0,0.00440533298208135,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250625 to 250728::7D-L2_Raw.csv,7D-L2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.09259737360123599,0.0,,,,,,,,0.35369591342312845,0.0,0.009774690121492301,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250625 to 250728::8B-L2m1_Raw.csv,8B-L2m1,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.07218363701488761,0.0,,,,,,,,0.27572118339049123,0.0,0.00050237324421465,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250625 to 250728::8C-L3m1_Raw.csv,8C-L3m1,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.08079786122494359,0.0,,,,,,,,0.3086250961248661,0.0,0.0025266147960906,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250625 to 250728::8D-L4-1m1_Raw.csv,8D-L4-1m1,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.1220199402672244,0.0,,,,,,,,0.4660818395833577,0.0,0.0032083346964714,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250811::2D-1FL2_Raw.csv,2D-1FL2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.07802342405155271,0.0,,,,,,,,0.2980275267542326,0.0,0.0404040895725532,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250811::3A-1FL4_Raw.csv,3A-1FL4,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.1252469582296527,0.0,,,,,,,,0.4784081402273609,0.0,0.031701631648078155,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250811::3D-1FT10_Raw.csv,3D-1FT10,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.028188909640613158,0.0,,,,,,,,0.10767370343218481,0.0,0.005091678887776,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250811::4A-2MT10_Raw.csv,4A-2MT10,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.06594355942679342,0.0,,,,,,,,0.2518858427483598,0.0,0.0042094515942771495,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250811::4C-2MT5_Raw.csv,4C-2MT5,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.09760907019138543,0.0,,,,,,,,0.3728391842775064,0.0,0.014930544119567849,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250811::4D-1FL4_Raw.csv,4D-1FL4,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.1245939577370685,0.0,,,,,,,,0.4759138620776916,0.0,0.02931702323527445,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250811::5C-1FT7_Raw.csv,5C-1FT7,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.22885702018330667,0.0,,,,,,,,0.8741694245629179,0.0,0.0290943338724219,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250811::6A-1FL1_Raw.csv,6A-1FL1,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.11259307828296183,0.0,,,,,,,,0.43007387919998663,0.0,0.010886951050039801,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250811::6B-2ML3_Raw.csv,6B-2ML3,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.0997020913206077,0.0,,,,,,,,0.3808339360865825,0.0,0.0350761972229968,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250811::7D-2MT12_Raw.csv,7D-2MT12,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.1793911965017827,0.0,,,,,,,,0.6852238960902777,0.0,0.03047591678529535,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250811::8C-2ML4_Raw.csv,8C-2ML4,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.10719239896632105,0.0,,,,,,,,0.4094448037768456,0.0,0.006141671429312301,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,250811::8D-2MT7_Raw.csv,8D-2MT7,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.06317929234372288,0.0,,,,,,,,0.24132712026123443,0.0,0.02653723973535515,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,DRG,251003::2B- 1MT7_Raw.csv,2B- 1MT7,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.10087693685107268,0.0,,,,,,,,0.38532151545161264,0.0,0.0032408138645628496,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,SCN,250625 to 250728::1C-SCN_Raw.csv,1C-SCN,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.06651098658542809,0.0,,,,,,,,0.25405325483975094,0.0,0.0004429068658443,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,SCN,250625 to 250728::6C-SCNmm1_Raw.csv,6C-SCNmm1,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.11156330334555342,0.0,,,,,,,,0.4261404286825299,0.0,0.0022682496563618997,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,SCN,250625 to 250728::7A-SCNmm2_Raw.csv,7A-SCNmm2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.08844898631480702,0.0,,,,,,,,0.3378502412032546,0.0,0.0024913236843187,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,SCN,250625 to 250728::7B-SCNcm2_Raw.csv,7B-SCNcm2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.16208291045512868,0.0,,,,,,,,0.6191111133517146,0.0,0.0009531605388957501,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,SCN,250728::6B-SCNrM2_Raw.csv,6B-SCNrM2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.18254063576226254,0.0,,,,,,,,0.6972538679208309,0.0,0.0037254189949070997,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,SCN,250728::7A-SCNcM1_Raw.csv,7A-SCNcM1,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.07809921353485816,0.0,,,,,,,,0.2983170212558912,0.0,0.0017893787141470999,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,SCN,250728::7B-SCNcM2_Raw.csv,7B-SCNcM2,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.14544802857065386,0.0,,,,,,,,0.5555705450397788,0.0,0.0016011918011669501,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,SCN,250811::1A-1FSCN_Raw.csv,1A-1FSCN,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.047681701158515555,0.0,,,,,,,,0.18213068242579927,0.0,0.00610306533758515,0.0
CWT_pyBOAT,phase_shift_hours,0,S0_target_only,target_only,eligible,SCN,250811::1B-2MSCN_Raw.csv,1B-2MSCN,True,circular_absolute_error_radians,radians,10,1.0,1.0,0.026909756481721336,0.0,,,,,,,,0.1027876982751629,0.0,0.00638776103961145,0.0
