calibration_id,source_grid_id,method,segment,period_hours,amplitude_gt,amplitude_estimated,processing_success,failure_reason
cal_0009,SYN_A029_1A-1FSCN_V000,Hilbert,pre,24.0,1.0,1.0120082894128704,True,
cal_0009,SYN_A029_1A-1FSCN_V000,Hilbert,post,24.0,1.0,1.0225039141374501,True,
cal_0009,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,pre,24.0,1.0,0.9943538343499987,True,
cal_0009,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,post,24.0,1.0,0.9944629302139929,True,
cal_0010,SYN_A029_1A-1FSCN_V000,STFT,pre,26.0,1.0,0.9289665140552581,True,
cal_0010,SYN_A029_1A-1FSCN_V000,STFT,post,26.0,1.0,0.9278631851455297,True,
cal_0010,SYN_A029_1A-1FSCN_V000,Hilbert,pre,26.0,1.0,1.026212879775934,True,
cal_0010,SYN_A029_1A-1FSCN_V000,Hilbert,post,26.0,1.0,1.021948177823972,True,
cal_0010,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,pre,26.0,1.0,0.9921293505726688,True,
cal_0010,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,post,26.0,1.0,0.9913373390472893,True,
cal_0011,SYN_A029_1A-1FSCN_V000,STFT,pre,28.0,1.0,0.8826813269009193,True,
cal_0011,SYN_A029_1A-1FSCN_V000,STFT,post,28.0,1.0,0.8826855243201288,True,
cal_0011,SYN_A029_1A-1FSCN_V000,Hilbert,pre,28.0,1.0,0.9673508967941808,True,
cal_0011,SYN_A029_1A-1FSCN_V000,Hilbert,post,28.0,1.0,0.9010650864796834,True,
cal_0011,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,pre,28.0,1.0,0.9882510943409433,True,
cal_0011,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,post,28.0,1.0,0.9910234303851839,True,
cal_0012,SYN_A029_1A-1FSCN_V000,STFT,pre,30.0,1.0,0.8731158529230301,True,
cal_0012,SYN_A029_1A-1FSCN_V000,STFT,post,30.0,1.0,0.8731158529230302,True,
cal_0012,SYN_A029_1A-1FSCN_V000,Hilbert,pre,30.0,1.0,0.7699094237631464,True,
cal_0012,SYN_A029_1A-1FSCN_V000,Hilbert,post,30.0,1.0,0.7035974456512516,True,
cal_0012,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,pre,30.0,1.0,0.9831797966840907,True,
cal_0012,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,post,30.0,1.0,0.9842146132308935,True,
cal_0013,SYN_A029_1A-1FSCN_V000,STFT,pre,20.0,2.0,2.164165710890642,True,
cal_0013,SYN_A029_1A-1FSCN_V000,STFT,post,20.0,2.0,2.1641525256319465,True,
cal_0013,SYN_A029_1A-1FSCN_V000,Hilbert,pre,20.0,2.0,1.8675292202427838,True,
cal_0013,SYN_A029_1A-1FSCN_V000,Hilbert,post,20.0,2.0,1.859258363413069,True,
cal_0013,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,pre,20.0,2.0,1.9942924166020348,True,
cal_0013,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,post,20.0,2.0,1.9947599360901758,True,
cal_0014,SYN_A029_1A-1FSCN_V000,STFT,pre,22.0,2.0,2.1504673259566776,True,
cal_0014,SYN_A029_1A-1FSCN_V000,STFT,post,22.0,2.0,2.1496288224354645,True,
cal_0014,SYN_A029_1A-1FSCN_V000,Hilbert,pre,22.0,2.0,2.0126838797990922,True,
cal_0014,SYN_A029_1A-1FSCN_V000,Hilbert,post,22.0,2.0,1.9986584406299488,True,
cal_0014,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,pre,22.0,2.0,1.9905656409212087,True,
cal_0014,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,post,22.0,2.0,1.9906864348622233,True,
cal_0015,SYN_A029_1A-1FSCN_V000,STFT,pre,24.0,2.0,2.0091255065725027,True,
cal_0015,SYN_A029_1A-1FSCN_V000,STFT,post,24.0,2.0,2.0091255065725044,True,
cal_0015,SYN_A029_1A-1FSCN_V000,Hilbert,pre,24.0,2.0,2.0240165788257407,True,
cal_0015,SYN_A029_1A-1FSCN_V000,Hilbert,post,24.0,2.0,2.0450078282749002,True,
cal_0015,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,pre,24.0,2.0,1.9887076686999974,True,
cal_0015,SYN_A029_1A-1FSCN_V000,CWT_pyBOAT,post,24.0,2.0,1.9889258604279858,True,
cal_0016,SYN_A029_1A-1FSCN_V000,STFT,pre,26.0,2.0,1.8579330281105162,True,
cal_0016,SYN_A029_1A-1FSCN_V000,STFT,post,26.0,2.0,1.8557263702910594,True,
