scenario_number,scenario_id,profile_type,direction,duration_hours,metric,method_a,method_b,difference_definition,lower_is_better,n_anchor_pairs,median_difference_hours,ci95_low,ci95_high,bootstrap_repeats
12,sustained_lengthening_72h,causal_sustained_transition,lengthening,72.0,primary_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,-0.0034083523013793693,-0.039429323198887534,0.02827103012372062,2000
12,sustained_lengthening_72h,causal_sustained_transition,lengthening,72.0,full_trajectory_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.06242896561939154,0.058264121751169684,0.06463799158080549,2000
12,sustained_lengthening_72h,causal_sustained_transition,lengthening,72.0,full_trajectory_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.22576255699981085,0.17912148013961837,0.25106784688324557,2000
12,sustained_lengthening_72h,causal_sustained_transition,lengthening,72.0,full_trajectory_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,0.12260302781270582,0.10228833927195694,0.17486032548220437,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,primary_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.2585230633220421,0.2540161602167429,0.262131458686738,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,primary_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.10687370146911501,0.10263381288128565,0.12317603618009837,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,primary_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,-0.1535456439593058,-0.15497307713330855,-0.15288121485717066,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,full_trajectory_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.1350761338543973,0.12910745969944165,0.13820123837195217,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,full_trajectory_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.2721442543560927,0.2605394392599568,0.2823581975224467,2000
6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,full_trajectory_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,0.1347601846874179,0.11484249094743382,0.1429407734856265,2000
10,sustained_shortening_48h,causal_sustained_transition,shortening,48.0,primary_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.17417377535126666,0.1596133841671048,0.17562181881934225,2000
10,sustained_shortening_48h,causal_sustained_transition,shortening,48.0,primary_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.08615305180770577,0.07404454957897932,0.1094849103682165,2000
10,sustained_shortening_48h,causal_sustained_transition,shortening,48.0,primary_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,-0.08549260342609294,-0.09234983245053585,-0.07406589583748124,2000
10,sustained_shortening_48h,causal_sustained_transition,shortening,48.0,full_trajectory_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.08772641390917196,0.08288597182597054,0.09718940320409378,2000
10,sustained_shortening_48h,causal_sustained_transition,shortening,48.0,full_trajectory_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.27825916593998223,0.2300172235864977,0.2984010587743696,2000
10,sustained_shortening_48h,causal_sustained_transition,shortening,48.0,full_trajectory_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,0.17796130285625386,0.14119090210923807,0.20346365271002684,2000
14,sustained_shortening_72h,causal_sustained_transition,shortening,72.0,primary_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.11128023237306468,0.10992736702159371,0.1129212733394384,2000
14,sustained_shortening_72h,causal_sustained_transition,shortening,72.0,primary_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.1506418057857974,0.12872994349964761,0.3113398120507477,2000
14,sustained_shortening_72h,causal_sustained_transition,shortening,72.0,primary_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,0.04117463724745765,0.019002048077138622,0.1830888691482298,2000
14,sustained_shortening_72h,causal_sustained_transition,shortening,72.0,full_trajectory_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.052367302917535746,0.040697801500411024,0.05615640643779099,2000
14,sustained_shortening_72h,causal_sustained_transition,shortening,72.0,full_trajectory_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.2714220130642756,0.22518948332803804,0.3249123417050241,2000
14,sustained_shortening_72h,causal_sustained_transition,shortening,72.0,full_trajectory_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,0.23350552298204832,0.18007281851958182,0.2675836542190001,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,primary_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.22480697984105524,0.22238541060239225,0.2256991009567294,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,primary_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.14512054100892446,0.13638889115875275,0.17045938267446314,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,primary_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,-0.08270727677427347,-0.08654155470067726,-0.05595684987687288,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,full_trajectory_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.114250498028242,0.11284278272694037,0.11599770121160469,2000
