step3d_version,model_spec_version,anchor_index,anchor_recording_uid,anchor_recording_id,tissue,scenario_number,scenario_id,profile_type,direction,duration_hours,method,primary_evaluation_scope,primary_evaluation_start_hours,primary_evaluation_end_hours,n_common_timepoints,n_valid_estimates,valid_estimate_fraction,n_primary_timepoints,n_primary_valid_estimates,primary_valid_estimate_fraction,primary_rmse_hours,full_trajectory_rmse_hours,primary_bias_hours,primary_pearson,ground_truth_dynamic_range_hours,estimated_dynamic_range_hours,dynamic_range_ratio,within_1h_fraction,timing_metric,ground_truth_event_time_hours,estimated_event_time_hours,timing_error_hours,absolute_timing_error_hours
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,CWT_pyBOAT,event_window,138.0,216.0,43,43,1.0,14,14,1.0,0.806573772236504,0.4615094049915299,-0.06837885732365707,0.6390703212307978,2.9871652416785395,0.42211055276382226,0.14130806922707465,0.8571428571428571,peak_deviation,174.50004,177.0,2.4999599999999873,2.4999599999999873
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,Hilbert,event_window,138.0,216.0,43,43,1.0,14,14,1.0,0.7248115736728353,0.46409026215548727,-0.026314628811614886,0.6621099336312433,2.9871652416785395,0.8474968099606635,0.2837127314337792,0.9285714285714286,peak_deviation,174.50004,171.77450511422074,-2.7255348857792683,2.7255348857792683
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,STFT,event_window,138.0,216.0,43,43,1.0,14,14,1.0,0.257111709971726,0.19246114759603522,-0.010896193881161713,0.9863306010926578,3.0,2.9480881691407994,0.9826960563802665,1.0,midpoint_crossing,174.50004,173.0709228515625,-1.4291171484375127,1.4291171484375127
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,CWT_pyBOAT,event_window,138.0,216.0,43,43,1.0,14,14,1.0,0.5466926090935066,0.3139456418293787,-0.059228821027902355,0.9586276617812148,3.0,2.667955160417467,0.8893183868058223,1.0,midpoint_crossing,174.50004,172.82846237731604,-1.6715776226839694,1.6715776226839694
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,6,sustained_shortening_24h,causal_sustained_transition,shortening,24.0,Hilbert,event_window,138.0,216.0,43,43,1.0,14,14,1.0,0.3856103796929309,0.391934437440841,-0.027864472216987783,0.9671304103114546,3.0,3.1869637458238955,1.0623212486079652,1.0,midpoint_crossing,174.50004,172.65731298651536,-1.842727013484648,1.842727013484648
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,STFT,event_window,138.0,216.0,43,43,1.0,14,14,1.0,0.6056589360528907,0.3681061060953996,-0.04984807625922448,0.7582750928555713,2.9871652416785395,1.197660818713448,0.4009355766473976,0.9285714285714286,peak_deviation,174.50004,171.00000000000003,-3.5000399999999843,3.5000399999999843
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,CWT_pyBOAT,event_window,138.0,216.0,43,43,1.0,14,14,1.0,0.7934625202065073,0.45700385539071003,-0.0024297310730203897,0.6225573421409993,2.9871652416785395,0.4924623115577873,0.16485941409825197,0.8571428571428571,peak_deviation,174.50004,176.4125874125877,1.912547412587685,1.912547412587685
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,7,transient_shortening_24h,causal_transient_pulse,shortening,24.0,Hilbert,event_window,138.0,216.0,43,43,1.0,14,14,1.0,0.7348372656538145,0.46480850572647747,-0.09987217644283877,0.6223100548603523,2.9871652416785395,1.0084650126905856,0.33759933954102644,0.9285714285714286,peak_deviation,174.50004,177.60089707838958,3.1008570783895664,3.1008570783895664
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,STFT,event_window,138.0,240.0,43,43,1.0,18,18,1.0,0.1890849148749114,0.19747618538271902,-0.06276807811572856,0.9907854245822041,3.0,3.353450292397664,1.1178167641325547,1.0,midpoint_crossing,186.50004,188.71728515625,2.2172451562499873,2.2172451562499873
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,CWT_pyBOAT,event_window,138.0,240.0,43,43,1.0,18,18,1.0,0.4058719470399882,0.26385516416157806,-0.07053253775692585,0.9791981209596439,3.0,2.7451945039884684,0.9150648346628228,1.0,midpoint_crossing,186.50004,188.57743658211132,2.077396582111305,2.077396582111305
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,Hilbert,event_window,138.0,240.0,43,43,1.0,18,18,1.0,0.23246747894920333,0.43999936549507485,0.10914960224914852,0.9878637026204872,3.0,3.553080044484677,1.1843600148282256,1.0,midpoint_crossing,186.50004,185.11334784659783,-1.3866921534021799,1.3866921534021799
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,9,transient_lengthening_48h,causal_transient_pulse,lengthening,48.0,STFT,event_window,138.0,240.0,43,43,1.0,18,18,1.0,0.3400612560192499,0.28084037665536343,-0.041177720989410735,0.9635285168522945,2.996787871162411,2.303193882141251,0.7685541924086455,1.0,peak_deviation,186.50004,189.00000000000006,2.499960000000044,2.499960000000044
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,9,transient_lengthening_48h,causal_transient_pulse,lengthening,48.0,CWT_pyBOAT,event_window,138.0,240.0,43,43,1.0,18,18,1.0,0.8144996491736851,0.5281184937072774,-0.0758766638164394,0.7923173133613461,2.996787871162411,0.9145728643216096,0.3051843852954663,0.8333333333333334,peak_deviation,186.50004,185.97916666666677,-0.5208733333332418,0.5208733333332418
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,9,transient_lengthening_48h,causal_transient_pulse,lengthening,48.0,Hilbert,event_window,138.0,240.0,43,43,1.0,18,18,1.0,0.6151288376255717,0.4484320149149629,0.01705818041319418,0.9066412781616042,2.996787871162411,1.5024033729245865,0.5013379116293025,0.8333333333333334,peak_deviation,186.50004,187.79564045285449,1.2956004528544725,1.2956004528544725
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,10,sustained_shortening_48h,causal_sustained_transition,shortening,48.0,STFT,event_window,138.0,240.0,43,43,1.0,18,18,1.0,0.1869552142847576,0.17362890917891652,-0.043091179896631554,0.9926359416945384,3.0,2.9480881691407994,0.9826960563802665,1.0,midpoint_crossing,186.50004,184.1103515625,-2.3896884375000127,2.3896884375000127
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,10,sustained_shortening_48h,causal_sustained_transition,shortening,48.0,CWT_pyBOAT,event_window,138.0,240.0,43,43,1.0,18,18,1.0,0.3465685984518624,0.22583486261280647,-0.04305404316648836,0.9830555879034362,3.0,2.8844221105527517,0.9614740368509173,1.0,midpoint_crossing,186.50004,185.2071069633869,-1.2929330366131069,1.2929330366131069
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,10,sustained_shortening_48h,causal_sustained_transition,shortening,48.0,Hilbert,event_window,138.0,240.0,43,43,1.0,18,18,1.0,0.24911637582729476,0.33092745820306035,-0.05391590276110985,0.9827690020841064,3.0,3.551374930848766,1.1837916436162554,1.0,midpoint_crossing,186.50004,185.6966910200211,-0.8033489799789209,0.8033489799789209
2026-09-04-dynamic-period-v3,msc_x10_causal_angle_halfgaussian_v1,1,250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,DRG,11,transient_shortening_48h,causal_transient_pulse,shortening,48.0,STFT,event_window,138.0,240.0,43,43,1.0,18,18,1.0,0.3757544347401857,0.2825532346972521,0.008026575557344786,0.9595948106647605,2.996787871162411,1.9317109979249167,0.6445938387943467,0.9444444444444444,peak_deviation,186.50004,182.99999999999997,-3.500040000000041,3.500040000000041
